# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "14" "-t" "exon" "-g" "gene_id" "-s" "1" "-a" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/refs/BOM_ss5/BOM_ss5_final.gtf" "-o" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/counts/counts_BOM_ss5_raw.txt" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_10_sample_2B.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_11_sample_2C.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_12_sample_2D.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_13_sample_2E.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_14_sample_2F.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_15_sample_2G.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_16_sample_2H.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_1_sample_1A.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_2_sample_1B.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_3_sample_1C.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_4_sample_1D.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_5_sample_1E.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_6_sample_1F.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_7_sample_1G.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_8_sample_1H.primary.bam" "/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_9_sample_2A.primary.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_10_sample_2B.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_11_sample_2C.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_12_sample_2D.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_13_sample_2E.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_14_sample_2F.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_15_sample_2G.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_16_sample_2H.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_1_sample_1A.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_2_sample_1B.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_3_sample_1C.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_4_sample_1D.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_5_sample_1E.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_6_sample_1F.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_7_sample_1G.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_8_sample_1H.primary.bam	/Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis/bam_BOM_ss5/GPNJ7M_9_sample_2A.primary.bam
AAD021_009814	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1349056;1349495;1349976;1350167;1350553;1351032;1351378;1351671;1351957	1349432;1349925;1350110;1350499;1350978;1351325;1351615;1351903;1353138	-;-;-;-;-;-;-;-;-	3649	0	10	6	0	3	0	290	270	0	0	9	5	2	207	16	1
AAD021_009815	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1353758;1354090;1354298;1354498;1354754;1354972;1355155;1355378	1354029;1354248;1354415;1354694;1354895;1355100;1355312;1356052	+;+;+;+;+;+;+;+	1850	16	114	71	13	85	62	1664	546	29	17	38	44	69	500	121	10
AAD021_009816	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1357336;1358012;1358263;1358444;1358640	1357974;1358215;1358393;1358582;1359196	+;+;+;+;+	1670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009817	JBQVBD010000009.1;JBQVBD010000009.1	1363728;1364394	1364368;1365221	+;+	1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009818	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1379079;1379701;1380077	1379646;1380027;1380383	-;-;-	1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009819	JBQVBD010000009.1;JBQVBD010000009.1	1380723;1380914	1380826;1382080	+;+	1271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009820	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1390978;1393688;1395315;1395424;1395614;1395805;1396049	1393628;1395255;1395366;1395562;1395744;1395994;1396704	-;-;-;-;-;-;-	5387	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0
AAD021_009821	JBQVBD010000009.1	1398806	1399944	+	1139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009822	JBQVBD010000009.1;JBQVBD010000009.1	1406343;1407850	1407798;1408558	-;-	2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009823	JBQVBD010000009.1;JBQVBD010000009.1	1412859;1413146	1413092;1414077	+;+	1166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009824	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1423226;1425302;1425411;1425600;1425778;1426019	1425245;1425353;1425549;1425730;1425964;1426674	-;-;-;-;-;-	3185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009825	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1434386;1437225;1438837;1438942;1439132;1439323;1439567	1437165;1438780;1438888;1439080;1439262;1439512;1440204	-;-;-;-;-;-;-	5486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009826	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1464440;1465027;1465194;1465279;1466046;1466129;1466677	1464977;1465137;1465230;1465988;1466074;1466334;1467546	-;-;-;-;-;-;-	2501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009827	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1467596;1468089;1468604;1469006;1469290	1468035;1468552;1468954;1469236;1471044	-;-;-;-;-	3241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009828	JBQVBD010000009.1;JBQVBD010000009.1	1477244;1479572	1479515;1479788	-;-	2489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009829	JBQVBD010000009.1;JBQVBD010000009.1	1481486;1482227	1482208;1482342	-;-	839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009830	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1483288;1484806;1485845;1485971;1486152;1487068	1484752;1485792;1485916;1486014;1487014;1487181	-;-;-;-;-;-	3545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009831	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1487231;1487871;1488663;1488741;1488859;1489082	1487822;1488601;1488691;1488811;1489033;1489113	-;-;-;-;-;-	1630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009832	JBQVBD010000009.1	1489444	1490906	+	1463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009833	JBQVBD010000009.1;JBQVBD010000009.1	1490501;1491142	1491093;1491693	-;-	1145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009834	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1493269;1493348;1493572;1493695;1493784	1493297;1493522;1493642;1493723;1494510	+;+;+;+;+	1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009835	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1494781;1495548;1495626;1495925;1496029;1496233;1496404	1495493;1495573;1495870;1495975;1496176;1496353;1496655	-;-;-;-;-;-;-	1556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009836	JBQVBD010000009.1;JBQVBD010000009.1	1504229;1504547	1504238;1505849	+;+	1313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009837	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1506018;1506096;1506326;1506459;1506538;1506687;1507352;1507437;1507610	1506040;1506276;1506396;1506487;1506624;1507300;1507388;1507559;1508414	+;+;+;+;+;+;+;+;+	1970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009838	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1508476;1509187;1509277	1509137;1509225;1509417	-;-;-	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009839	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1510216;1510610;1510857;1510980	1510560;1510804;1510918;1511735	+;+;+;+	1358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009840	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1517411;1517968;1518315;1518431	1517936;1518263;1518382;1518475	-;-;-;-	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009841	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1522088;1523896;1524003;1524192;1524374;1524618	1523840;1523947;1524141;1524322;1524554;1525012	-;-;-;-;-;-	2651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009842	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1529568;1529914;1530125;1530242;1530361	1529594;1530061;1530183;1530304;1530923	+;+;+;+;+	860	7	177	228	67	108	138	2008	1996	28	6	104	124	47	992	225	31
AAD021_009843	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1531079;1531232;1531377;1531509;1531827;1531915;1532069;1532325;1532781;1532977;1533296;1533482	1531200;1531329;1531461;1531593;1531846;1532018;1532271;1532728;1532920;1533242;1533425;1534223	+;+;+;+;+;+;+;+;+;+;+;+	2399	0	1	1	0	0	0	20	15	0	0	0	0	6	7	0	0
AAD021_009844	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1534354;1535162;1535320;1536851	1534595;1535268;1536801;1537707	+;+;+;+	2688	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0
AAD021_009845	JBQVBD010000009.1	1537658	1538374	-	717	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AAD021_009846	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1539005;1540025;1540116;1540274;1540357;1540558	1539973;1540061;1540207;1540301;1540492;1540716	-;-;-;-;-;-	1421	0	6	0	0	2	0	54	90	0	0	3	8	15	10	5	2
AAD021_009847	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1541199;1542454;1543124;1543509;1543756;1543864;1543936;1544115	1542397;1543070;1543451;1543706;1543814;1543875;1544059;1544219	-;-;-;-;-;-;-;-	2642	74	247	177	132	126	116	1892	3057	34	22	167	258	185	786	481	178
AAD021_009848	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1547541;1547765;1547967;1548203;1548393;1548491;1548880;1549192	1547647;1547874;1548142;1548339;1548435;1548726;1549135;1549723	+;+;+;+;+;+;+;+	1597	0	0	8	0	22	15	367	45	0	0	3	0	0	68	6	0
AAD021_009849	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1549499;1550628;1552140	1550578;1552088;1552242	-;-;-	2644	0	1	0	0	0	0	11	2	0	0	0	0	0	1	0	0
AAD021_009850	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1552450;1553797;1555366	1553746;1555311;1555468	-;-;-	2915	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
AAD021_009851	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1556075;1556667;1556824;1557370;1557570;1557636	1556617;1556773;1557313;1557518;1557582;1557799	-;-;-;-;-;-	1466	0	0	0	0	0	0	23	25	0	0	0	0	0	25	8	0
AAD021_009852	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1560483;1560574;1560770;1560909;1561071;1561502;1562027;1562264;1562376;1562580	1560519;1560713;1560848;1561010;1561448;1561973;1562214;1562318;1562554;1563177	+;+;+;+;+;+;+;+;+;+	2228	0	9	0	0	0	0	41	20	0	0	6	3	2	23	2	0
AAD021_009853	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1563227;1563485;1563633;1563808;1564031;1564100;1564148;1564445;1564597;1564657;1564806;1564952	1563437;1563579;1563752;1563975;1564047;1564126;1564394;1564542;1564609;1564753;1564898;1565693	+;+;+;+;+;+;+;+;+;+;+;+	1928	0	0	2	0	0	4	19	2	0	0	0	0	0	9	0	0
AAD021_009854	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1565296;1565890;1566020;1566115;1566351	1565836;1565981;1566059;1566295;1566509	-;-;-;-;-	1013	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AAD021_009855	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1566612;1567643;1567735;1567878;1567959;1568185	1567595;1567679;1567826;1567905;1568130;1568343	-;-;-;-;-;-	1472	0	0	0	0	0	4	10	26	0	0	0	10	0	15	2	0
AAD021_009856	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1570732;1570895;1572484;1573335	1570843;1572427;1573280;1573837	+;+;+;+	2945	0	0	0	0	0	0	24	0	0	0	0	0	0	1	0	0
AAD021_009857	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1574743;1574787;1576332	1574751;1576281;1577535	+;+;+	2708	0	0	0	0	0	0	19	8	0	0	13	0	0	0	7	0
AAD021_009858	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1577585;1578013;1578120	1577959;1578064;1579575	+;+;+	1883	0	0	1	0	5	0	46	18	0	0	0	0	6	7	0	0
AAD021_009859	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1581894;1582058;1582276;1582524	1582005;1582224;1582466;1583150	+;+;+;+	1097	0	0	1	0	0	0	6	5	0	0	1	1	0	2	0	0
AAD021_009860	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1583139;1583929;1584070	1583874;1584016;1584177	-;-;-	932	0	0	3	0	0	0	26	14	0	0	0	0	0	0	0	0
AAD021_009861	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1585084;1585260;1585410;1585490;1585574;1585714;1585866;1586004;1586104;1586281;1586343;1586656;1586745;1586886;1587066;1587181;1587587;1587796;1587960;1588307	1585210;1585354;1585430;1585512;1585651;1585810;1585956;1586047;1586224;1586296;1586589;1586694;1586828;1587010;1587125;1587189;1587732;1587900;1588244;1588735	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2242	0	0	0	0	0	0	12	1	0	0	0	0	0	8	0	0
AAD021_009862	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1588433;1589002;1589256;1589404;1589509;1589599	1588942;1589199;1589354;1589453;1589519;1589769	-;-;-;-;-;-	1039	5	8	0	4	0	0	81	62	2	0	6	25	2	67	30	0
AAD021_009863	JBQVBD010000009.1;JBQVBD010000009.1	1589819;1590567	1590500;1591162	-;-	1278	0	2	1	0	3	0	77	16	0	0	2	0	0	17	4	0
AAD021_009864	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1591451;1592045;1592236;1592589	1591996;1592176;1592527;1592838	-;-;-;-	1220	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
AAD021_009865	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1593015;1593804;1593916;1594013	1593748;1593859;1593964;1594045	-;-;-;-	872	6	11	18	1	15	50	727	62	5	0	0	37	9	28	21	3
AAD021_009866	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1594171;1594333;1594405;1594508;1594582	1594277;1594355;1594457;1594531;1595135	+;+;+;+;+	761	0	5	16	1	23	23	456	71	4	0	8	6	7	30	24	4
AAD021_009867	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1595592;1596678;1596879;1597027;1597402;1597587;1597975;1598302;1598713;1598965;1599837;1600189	1596613;1596815;1596970;1597345;1597527;1597925;1598247;1598657;1598915;1599782;1600137;1600721	-;-;-;-;-;-;-;-;-;-;-;-	4520	0	7	5	0	0	2	121	47	0	0	4	9	10	23	7	0
AAD021_009868	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1601423;1601574;1603141	1601516;1603088;1604425	+;+;+	2894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009869	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1603978;1604875;1605010;1605242;1605472;1605727;1605946;1606288;1606618;1607054	1604818;1604951;1605188;1605418;1605663;1605892;1606238;1606569;1607006;1607177	-;-;-;-;-;-;-;-;-;-	2720	2	2	1	0	0	4	91	62	0	0	0	3	6	37	7	1
AAD021_009870	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1607728;1607822;1608206;1608442	1607773;1608156;1608373;1608998	+;+;+;+	1106	0	0	1	0	0	0	24	27	0	0	0	1	0	26	4	0
AAD021_009871	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1608779;1609442;1609591;1610134;1610349;1610514;1610589;1610702;1610773;1610993;1611059;1611246;1611409;1611541;1611681;1611919;1612104	1609390;1609524;1609729;1610277;1610456;1610538;1610645;1610724;1610939;1611006;1611185;1611357;1611484;1611617;1611869;1612051;1612335	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2318	8	51	39	6	59	86	1068	186	14	0	36	12	33	177	6	0
AAD021_009872	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1614936;1615603;1615699;1615839;1616096;1616312;1616380;1616453;1616548;1616673;1616837;1617020;1617144;1617265;1617464;1617638;1617725;1617938	1615547;1615640;1615772;1616018;1616254;1616319;1616396;1616496;1616611;1616788;1616963;1617093;1617210;1617407;1617587;1617672;1617878;1618018	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2117	1	18	2	5	6	0	54	123	2	2	5	3	58	76	9	2
AAD021_009873	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1618898;1619779;1619925;1620073;1621381;1621608;1621789	1619699;1619870;1620023;1620260;1621540;1621737;1622476	+;+;+;+;+;+;+	2159	1	25	0	0	1	2	219	46	0	0	0	6	0	69	16	0
AAD021_009874	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1622678;1622735;1623342	1622680;1622905;1624068	+;+;+	901	0	13	14	0	6	10	164	153	0	0	0	2	13	47	16	1
AAD021_009875	JBQVBD010000009.1;JBQVBD010000009.1	1623727;1624928	1624872;1626521	-;-	2740	0	3	0	0	4	0	51	11	0	0	0	0	0	0	0	0
AAD021_009876	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1626888;1626976;1627069;1627231;1627404;1627484;1627720;1627894;1628134;1628361;1628651	1626925;1627018;1627188;1627349;1627433;1627664;1627842;1628067;1628306;1628601;1629032	+;+;+;+;+;+;+;+;+;+;+	1624	0	1	0	3	4	2	56	0	0	0	0	0	1	3	1	0
AAD021_009877	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1628955;1629290;1629570;1630031;1630317;1630527;1630695;1630904;1631043;1631126;1631550	1629222;1629464;1629955;1630255;1630472;1630640;1630850;1630992;1631081;1631500;1631625	-;-;-;-;-;-;-;-;-;-;-	2059	0	0	0	0	0	0	35	8	0	0	0	4	0	4	0	0
AAD021_009878	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1632300;1633679;1635291	1633629;1635238;1635399	-;-;-	2999	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0
AAD021_009879	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1635986;1637478;1637578	1637419;1637519;1637660	-;-;-	1559	4	107	497	8	2558	829	39486	434	675	3	102	89	9	133	279	8
AAD021_009880	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1638739;1639269;1640977;1642420;1642823	1639209;1640929;1642363;1642772;1643344	+;+;+;+;+	4394	0	3	3	0	8	7	192	117	0	0	4	0	4	80	8	0
AAD021_009881	JBQVBD010000009.1;JBQVBD010000009.1	1643607;1645086	1645035;1646157	+;+	2501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD021_009882	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1646207;1646626;1646734	1646572;1646682;1647408	+;+;+	1098	0	5	0	0	0	3	58	11	1	0	3	5	0	3	0	0
AAD021_009883	JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1;JBQVBD010000009.1	1647458;1647580;1647800;1647980;1648108;1648318;1648543	1647528;1647747;1647928;1648051;1648249;1648483;1648738	+;+;+;+;+;+;+	944	0	0	0	0	0	0	1	6	0	0	6	0	0	0	0	0
