reaction,name,n_genes,Exuding_mycelium,Exudophore,Fuzzy_mycelium,Nodule,max_other,ratio
rxn08845,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C12:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08846,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08847,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08848,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08849,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:1)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08850,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:0)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn08851,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)",1,4.37,10.59,4.69,5.61,5.61,1.89
rxn15365,2-Acyl-sn-glycero-3-phosphocholine acylhydrolase,1,4.37,10.59,4.69,5.61,5.61,1.89
rxn20063,lysophopholipase L2,1,4.37,10.59,4.69,5.61,5.61,1.89
rxn36755,lysophopholipase L2,1,4.37,10.59,4.69,5.61,5.61,1.89
rxn43912,rxn43912,1,4.37,10.59,4.69,5.61,5.61,1.89
rxn00747,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,1,14.59,30.34,9.45,16.12,16.12,1.88
rxn22501,unsaturated rhamnogalacturonyl hydrolase,1,0.1,2.88,0.72,1.55,1.55,1.86
rxn41073,rxn41073,1,0.1,2.88,0.72,1.55,1.55,1.86
rxn06444,L-Phenylalanine:tRNA(Ala) ligase (AMP-forming),3,5.52,10.77,5.83,4.5,5.83,1.85
rxn20537,phenylalanyl-tRNA ligase,3,5.52,10.77,5.83,4.5,5.83,1.85
rxn47831,rxn47831,3,5.52,10.77,5.83,4.5,5.83,1.85
rxn02869,3-cis-Dodecenoyl-CoA delta3-cis-delta2-trans-isomerase,1,0.36,4.19,0.81,2.27,2.27,1.84
rxn03254,"cis,cis-3,6-Dodecadienoyl-CoA delta3-cis-delta2-trans-isomerase",1,0.36,4.19,0.81,2.27,2.27,1.84
rxn08706,hexadecenoyl-coa cis-trans isomerization,1,0.36,4.19,0.81,2.27,2.27,1.84
rxn09038,Octadecenoyl-coa cis-trans isomerization,1,0.36,4.19,0.81,2.27,2.27,1.84
rxn09288,tetradecenoyl-coa cis-trans isomerization,1,0.36,4.19,0.81,2.27,2.27,1.84
rxn19654,probable enoyl-CoA hydratase/isomerase,1,0.36,4.19,0.81,2.27,2.27,1.84
rxn22965,RXN-12519.c,1,0.36,4.19,0.81,2.27,2.27,1.84
rxn24471,RXN-7836.c,1,0.36,4.19,0.81,2.27,2.27,1.84
rxn41686,rxn41686,1,0.36,4.19,0.81,2.27,2.27,1.84
rxn00350,glutathione gamma-glutamylaminopeptidase,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn02727,leukotriene-C4 hydrolase,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn02791,(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn02792,gamma-glutamyltranspeptidase family protein,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn05952,glutathione:L-amino-acid 5-glutamyltransferase,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn06025,(5-L-glutamyl)-peptide:taurine 5-glutamyltransferase,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn06528,gamma-glutamyltranspeptidase family protein,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn06608,(5-L-glutamyl)-peptide:amino-acid 5-glutamyltransferase,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn06817,(5-L-glutamyl)-peptide:Se-Methylselenocysteine 5-glutamyltransferase,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn11577,(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn11997,(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn14123,gamma-Glutamyl-beta-aminopropiononitrile amidohydrolase,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn19758,gamma-glutamyl transpeptidase (ambiguous),2,1.46,7.31,4.02,2.62,4.02,1.82
rxn24179,RXN-6601.c,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn25402,RXN-9157.c,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn26969,leukotriene-C4 gamma-glutamyl transferase,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn31675,gamma-glutamyltranspeptidase family protein,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn40832,rxn40832,2,1.46,7.31,4.02,2.62,4.02,1.82
rxn22180,tRNA pseudouridine65 synthase,1,0.1,0.58,0.32,0.07,0.32,1.8
rxn05941,"[1,4-(N-Acetyl-beta-D-glucosaminyl)]n glycanohydrolase",5,7.81,27.0,15.45,13.07,15.45,1.75
rxn06063,beta-D-glucosaminide glucosaminohydrolase,5,7.81,27.0,15.45,13.07,15.45,1.75
rxn06152,"[1,4-(N-Acetyl-beta-D-glucosaminyl)]n glycanohydrolase",5,7.81,27.0,15.45,13.07,15.45,1.75
rxn07593,"bromoxynil,NADPH:oxygen oxidoreductase",5,7.81,27.0,15.45,13.07,15.45,1.75
rxn12154,R-nitrile:glutathione R-transferase,10,7.81,27.0,15.45,13.07,15.45,1.75
rxn15160,"[1,4-(N-Acetyl-beta-D-glucosaminyl)]n glycanohydrolase",5,7.81,27.0,15.45,13.07,15.45,1.75
rxn15578,R06081,5,7.81,27.0,15.45,13.07,15.45,1.75
rxn15579,R06081,5,7.81,27.0,15.45,13.07,15.45,1.75
rxn15580,R06082,5,7.81,27.0,15.45,13.07,15.45,1.75
rxn17919,"poly[1,4-(N-acetyl-beta-D-glucosaminide)] glycanohydrolase",5,7.81,27.0,15.45,13.07,15.45,1.75
rxn19732,5-keto-D-fructose reductase (NADP+),10,7.81,27.0,15.45,13.07,15.45,1.75
rxn19733,fructose 5-dehydrogenase (acceptor),10,7.81,27.0,15.45,13.07,15.45,1.75
rxn20173,D-mannitol:NADP+ 2-oxidoreductase,10,7.81,27.0,15.45,13.07,15.45,1.75
rxn20174,D-mannitol dehydrogenase,10,7.81,27.0,15.45,13.07,15.45,1.75
rxn23051,"N,N'-diacetylchitobiose synthase",5,7.81,27.0,15.45,13.07,15.45,1.75
rxn23053,endolytic chitodextrinase,5,7.81,27.0,15.45,13.07,15.45,1.75
rxn24346,D-sorbitol 2-dehydrogenase,10,7.81,27.0,15.45,13.07,15.45,1.75
rxn31265,"cystathionine gamma-synthase, chloroplast / O-succinylhomoserine (Thio",10,7.81,27.0,15.45,13.07,15.45,1.75
rxn31266,"cystathionine gamma-synthase, chloroplast / O-succinylhomoserine (Thio",10,7.81,27.0,15.45,13.07,15.45,1.75
rxn39926,ATP:N-acetyl-D-glucosamine 1-phosphotransferase,10,7.81,27.0,15.45,13.07,15.45,1.75
rxn40228,S-methyl-L-methionine:L-selenocysteine Se-methyltransferase,10,7.81,27.0,15.45,13.07,15.45,1.75
rxn44069,rxn44069,5,7.81,27.0,15.45,13.07,15.45,1.75
rxn00808,ATP:D-galactose 1-phosphotransferase,1,1.97,4.04,2.32,1.94,2.32,1.74
rxn15120,ATP:D-galactose 1-phosphotransferase,1,1.97,4.04,2.32,1.94,2.32,1.74
rxn15121,ATP:D-galactose 1-phosphotransferase,1,1.97,4.04,2.32,1.94,2.32,1.74
rxn00377,S-Formylglutathione hydrolase,1,16.58,28.52,9.5,6.05,16.58,1.72
rxn23133,Deg1,1,41.72,106.58,59.54,61.88,61.88,1.72
rxn03969,vanillin:NAD oxidoreductase,3,1.09,3.46,2.02,0.79,2.02,1.71
rxn12681,Vanillin: NAD oxidoreductase (34dhbald),3,1.09,3.46,2.02,0.79,2.02,1.71
rxn43715,rxn43715,3,1.09,3.46,2.02,0.79,2.02,1.71
rxn00165,L-serine ammonia-lyase,2,1.2,3.37,1.98,1.27,1.98,1.7
rxn00737,L-threonine ammonia-lyase (2-oxobutanoate-forming),1,0.52,3.37,1.98,1.27,1.98,1.7
rxn07054,R06131,2,1.2,3.37,1.98,1.27,1.98,1.7
rxn00250,Pyruvate:carbon-dioxide ligase (ADP-forming),2,32.59,53.57,18.49,29.3,32.59,1.64
rxn18029,thermomycolin,3,19.95,33.0,17.06,20.08,20.08,1.64
rxn33850,Pyruvate Carboxylase,2,32.59,53.57,18.49,29.3,32.59,1.64
rxn40535,rxn40535,11,19.95,33.0,17.06,20.08,20.08,1.64
rxn00474,L-serine hydro-lyase (adding indole; L-tryptophan-forming),1,4.74,10.01,6.16,3.91,6.16,1.62
rxn01682,"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosph",1,4.74,10.01,6.16,3.91,6.16,1.62
rxn01964,L-serine hydro-lyase [adding 1-C-(indol-3-yl)glycerol 3-phosphate; L-t,1,4.74,10.01,6.16,3.91,6.16,1.62
rxn30066,tryptophan synthase (indoleglycerol phosphate),1,4.74,10.01,6.16,3.91,6.16,1.62
rxn30067,tryptophan synthase (indoleglycerol phosphate),1,4.74,10.01,6.16,3.91,6.16,1.62
rxn05963,Phosphatidylcholine phosphatidohydrolase,1,8.73,14.05,7.94,7.87,8.73,1.61
rxn06086,Phosphatidylethanolamine phosphatidohydrolase,1,8.73,14.05,7.94,7.87,8.73,1.61
rxn07262,R07385,1,8.73,14.05,7.94,7.87,8.73,1.61
rxn20542,lecithinase D,1,8.73,14.05,7.94,7.87,8.73,1.61
rxn02175,ATP:pantetheine-4'-phosphate adenylyltransferase,1,2.6,9.52,5.97,3.78,5.97,1.6
rxn02938,1-(5-phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate carboxy-lyase,2,2.35,4.52,1.66,2.82,2.82,1.6
rxn03080,5-amino-6-(D-ribitylamino)uracil butanedionetransferase,1,17.55,34.92,12.18,21.76,21.76,1.6
rxn06441,L-Leucine:tRNA(Leu) ligase (AMP-forming),1,7.55,16.44,6.94,10.35,10.35,1.59
rxn18151,mitochondrial intermediate precursor-processing proteinase,1,0.31,2.46,1.54,0.31,1.54,1.59
rxn20029,leucine-tRNA synthetase,1,7.55,16.44,6.94,10.35,10.35,1.59
rxn43060,rxn43060,1,0.31,2.46,1.54,0.31,1.54,1.59
rxn44809,rxn44809,1,7.55,16.44,6.94,10.35,10.35,1.59
rxn00684,"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase",1,1.25,1.97,0.87,0.13,1.25,1.57
rxn00685,bifunctional dihydrofolate reductase-thymidylate synthase 1 / DHFR-TS ,1,1.25,1.97,0.87,0.13,1.25,1.57
rxn00686,"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase",1,1.25,1.97,0.87,0.13,1.25,1.57
rxn00687,R_5_6_7_8_Tetrahydrofolate_NADP__oxidoreductase,1,1.25,1.97,0.87,0.13,1.25,1.57
rxn01601,dihydrofolate:NAD+ oxidoreductase,1,1.25,1.97,0.87,0.13,1.25,1.57
rxn01602,dihydrofolate:NADP+ oxidoreductase,1,1.25,1.97,0.87,0.13,1.25,1.57
rxn12649,"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase",1,1.25,1.97,0.87,0.13,1.25,1.57
rxn14120,"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase",1,1.25,1.97,0.87,0.13,1.25,1.57
rxn19840,glutaryl coenzyme A dehydrogenase,1,20.77,49.05,23.07,31.18,31.18,1.57
rxn41508,rxn41508,1,1.25,1.97,0.87,0.13,1.25,1.57
rxn01618,(S)-Lactaldehyde:NADP+ oxidoreductase,2,5.73,9.28,3.07,5.95,5.95,1.56
rxn04937,lactaldehyde:NADP+ oxidoreductase,2,5.73,9.28,3.07,5.95,5.95,1.56
rxn15660,lactaldehyde:NADP+ oxidoreductase,2,5.73,9.28,3.07,5.95,5.95,1.56
rxn16883,Gre2,2,5.73,9.28,3.07,5.95,5.95,1.56
rxn00006,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,2,0.1,0.82,0.53,0.0,0.53,1.55
rxn00427,methanol:hydrogen-peroxide oxidoreductase,2,0.1,0.82,0.53,0.0,0.53,1.55
rxn01932,Hydorogen-peroxide:hydrogen-peroxide oxidoreductase,2,0.1,0.82,0.53,0.0,0.53,1.55
rxn06212,catalase 3 (SEN2),2,0.1,0.82,0.53,0.0,0.53,1.55
rxn06511,L-Arginyl-tRNA:protein arginyltransferase,1,1.93,3.12,2.01,1.92,2.01,1.55
rxn10443,H+-exporting ATPase,1,64.59,134.26,86.68,65.71,86.68,1.55
rxn11962,R02670,2,0.1,0.82,0.53,0.0,0.53,1.55
rxn11996,L-Arginyl-tRNA:protein arginyltransferase,1,1.93,3.12,2.01,1.92,2.01,1.55
rxn19183,arginyl-transfer ribonucleate-protein transferase,1,1.93,3.12,2.01,1.92,2.01,1.55
rxn26776,RXN66-1.c,2,0.1,0.82,0.53,0.0,0.53,1.55
rxn40949,rxn40949,1,1.93,3.12,2.01,1.92,2.01,1.55
rxn01734,Succinyl-CoA:citramalate CoA-transferase,1,0.36,1.97,1.28,1.18,1.28,1.54
rxn18074,beta-aspartyl-peptidase,1,1.81,7.4,4.81,2.07,4.81,1.54
rxn40388,succinyl-CoA:(R)-citramalate CoA-transferase,1,0.36,1.97,1.28,1.18,1.28,1.54
rxn40790,rxn40790,1,1.81,7.4,4.81,2.07,4.81,1.54
rxn00198,Isocitrate:NADP+ oxidoreductase (decarboxylating),1,12.97,44.63,10.65,29.41,29.41,1.52
rxn00199,oxalosuccinate carboxy-lyase (2-oxoglutarate-forming),1,12.97,44.63,10.65,29.41,29.41,1.52
rxn01387,Isocitrate:NADP+ oxidoreductase,1,12.97,44.63,10.65,29.41,29.41,1.52
rxn05794,oxalosuccinate carboxy-lyase (2-oxoglutarate-forming),1,12.97,44.63,10.65,29.41,29.41,1.52
rxn15022,Isocitrate:NADP+ oxidoreductase (decarboxylating),1,12.97,44.63,10.65,29.41,29.41,1.52
rxn15023,Isocitrate:NADP+ oxidoreductase (decarboxylating),1,12.97,44.63,10.65,29.41,29.41,1.52
rxn15278,Isocitrate:NADP+ oxidoreductase,1,12.97,44.63,10.65,29.41,29.41,1.52
rxn15279,Isocitrate:NADP+ oxidoreductase,1,12.97,44.63,10.65,29.41,29.41,1.52
rxn02200,"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate",1,3.7,6.83,2.76,4.52,4.52,1.51
rxn02201,"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-a",1,3.7,6.83,2.76,4.52,4.52,1.51
rxn02503,"ATP:2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine 6'-pyrophos",1,3.7,6.83,2.76,4.52,4.52,1.51
rxn02504,"2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropter",1,3.7,6.83,2.76,4.52,4.52,1.51
rxn21163,RXN-10857.c,1,3.7,6.83,2.76,4.52,4.52,1.51
rxn33971,Dihydroneoptrerin Aldolase,1,3.7,6.83,2.76,4.52,4.52,1.51
rxn33972,Dihydropterin Pyrophosphokinase,1,3.7,6.83,2.76,4.52,4.52,1.51
rxn33974,Dihydropteroate Synthase,1,3.7,6.83,2.76,4.52,4.52,1.51
rxn00139,AMP:diphosphate phospho-D-ribosyltransferase,1,5.63,8.37,2.26,4.59,5.63,1.49
rxn00915,GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase,1,5.63,8.37,2.26,4.59,5.63,1.49
rxn03039,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate pho,1,5.63,8.37,2.26,4.59,5.63,1.49
rxn05239,"adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreducta",1,3.59,5.34,3.26,3.23,3.59,1.49
rxn09069,phosphoadenylyl-sulfate reductase (glutaredoxin),1,3.59,5.34,3.26,3.23,3.59,1.49
rxn12778,adenine phosphoribosyltransferase,1,5.63,8.37,2.26,4.59,5.63,1.49
rxn17275,"PAPS reductase, thioredoxin-dependent",1,3.59,5.34,3.26,3.23,3.59,1.49
rxn27490,PAPS reductase,1,3.59,5.34,3.26,3.23,3.59,1.49
rxn00987,"2,3-Dimethylmalate pyruvate-lyase",4,0.98,17.95,1.48,12.09,12.09,1.48
rxn05990,triacylglycerol acylhydrolase,12,16.1,49.15,33.33,10.91,33.33,1.47
rxn06217,"1,2-diacyl-sn-glycerol acylhydrolase",12,16.1,49.15,33.33,10.91,33.33,1.47
rxn06218,"1,2-Diacyl-sn-glycerol acylhydrolase",12,16.1,49.15,33.33,10.91,33.33,1.47
rxn15315,Triacylglycerol acylhydrolase,12,16.1,49.15,33.33,10.91,33.33,1.47
rxn20048,RXN-12086.c,12,16.1,49.15,33.33,10.91,33.33,1.47
rxn23016,RXN-12579.c,12,16.1,49.15,33.33,10.91,33.33,1.47
rxn24526,hormone-sensitive lipase,12,16.1,49.15,33.33,10.91,33.33,1.47
rxn37572,tween-hydrolyzing esterase,12,16.1,49.15,33.33,10.91,33.33,1.47
rxn00383,Sulfite:oxygen oxidoreductase,1,5.89,8.46,3.33,5.56,5.89,1.44
rxn34006,Sulfite Oxidase,1,5.89,8.46,3.33,5.56,5.89,1.44
rxn00533,Acetyl-CoA:carbon-dioxide ligase (ADP-forming),1,9.62,13.62,9.38,5.61,9.62,1.42
rxn06672,biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming),1,9.62,13.62,9.38,5.61,9.62,1.42
rxn06673,Acetyl-CoA:carbon-dioxide ligase (ADP-forming),1,9.62,13.62,9.38,5.61,9.62,1.42
rxn19235,biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming),1,9.62,13.62,9.38,5.61,9.62,1.42
rxn26091,RXN0-5055.c,1,9.62,13.62,9.38,5.61,9.62,1.42
rxn27736,Biotin carboxylase,1,9.62,13.62,9.38,5.61,9.62,1.42
rxn31681,biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming),1,9.62,13.62,9.38,5.61,9.62,1.42
rxn46233,rxn46233,1,9.62,13.62,9.38,5.61,9.62,1.42
rxn05776,R00135,10,6.04,9.86,6.99,6.79,6.99,1.41
rxn12003,R04951,10,6.04,9.86,6.99,6.79,6.99,1.41
rxn18036,proline aminopeptidase,10,6.04,9.86,6.99,6.79,6.99,1.41
rxn42878,rxn42878,10,6.04,9.86,6.99,6.79,6.99,1.41
rxn05807,"1,3-beta-D-Glucan glucanohydrolase",6,28.91,58.14,41.49,27.42,41.49,1.4
rxn09611,R06204,1,28.91,58.14,41.49,27.42,41.49,1.4
rxn15603,R06204,1,28.91,58.14,41.49,27.42,41.49,1.4
rxn16652,linoleate:oxygen (10R)-oxidoreductase,2,26.6,55.06,39.53,30.58,39.53,1.39
rxn43491,rxn43491,9,5.51,11.59,8.4,7.43,8.4,1.38
rxn02789,2-Isopropylmalate hydro-lyase,1,6.35,18.14,4.3,13.28,13.28,1.37
rxn02811,3-Isopropylmalate hydro-lyase,1,6.35,18.14,4.3,13.28,13.28,1.37
rxn12193,3-isopropylmalate dehydratase,1,6.35,18.14,4.3,13.28,13.28,1.37
rxn33936,Lumped Leucine Synthesis,3,6.35,18.14,4.3,13.28,13.28,1.37
rxn02469,"N6,N6,N6-Trimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase (3-hy",1,2.08,4.43,1.05,3.26,3.26,1.36
rxn42278,rxn42278,1,2.08,4.43,1.05,3.26,3.26,1.36
rxn00127,S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopro,1,3.55,4.76,0.72,1.16,3.55,1.34
rxn03006,rxn03006,1,1.81,5.58,4.2,3.19,4.2,1.33
rxn03190,rxn03190,1,1.81,5.58,4.2,3.19,4.2,1.33
rxn03961,3-beta-Hydroxy-steroid:NADP+ 3-oxidoreductase,1,1.81,5.58,4.2,3.19,4.2,1.33
rxn06655,R04328,1,1.81,5.58,4.2,3.19,4.2,1.33
rxn07326,rxn07326,1,1.81,5.58,4.2,3.19,4.2,1.33
rxn14019,4alpha-methylzymosterol:NADP+ 3-oxidoreductase,1,1.81,5.58,4.2,3.19,4.2,1.33
rxn26741,RXN3O-4110.c,1,1.81,5.58,4.2,3.19,4.2,1.33
rxn26846,RXN66-19.c,1,1.81,5.58,4.2,3.19,4.2,1.33
rxn26880,RXN66-24.c,1,1.81,5.58,4.2,3.19,4.2,1.33
rxn26965,RXN66-319.c,1,1.81,5.58,4.2,3.19,4.2,1.33
rxn00148,ATP:pyruvate 2-O-phosphotransferase,1,28.26,37.34,16.45,24.73,28.26,1.32
rxn00304,GTP:pyruvate 2-O-phosphotransferase,1,28.26,37.34,16.45,24.73,28.26,1.32
rxn00411,CTP:pyruvate 2-O-phosphotransferase,1,28.26,37.34,16.45,24.73,28.26,1.32
rxn00460,UTP:pyruvate 2-O-phosphotransferase,1,28.26,37.34,16.45,24.73,28.26,1.32
rxn00517,ITP:pyruvate 2-O-phosphotransferase,1,28.26,37.34,16.45,24.73,28.26,1.32
rxn00840,dATP:pyruvate 2-O-phosphotransferase,1,28.26,37.34,16.45,24.73,28.26,1.32
rxn01354,dGTP:pyruvate 2-O-phosphotransferase,1,28.26,37.34,16.45,24.73,28.26,1.32
rxn01667,NTP:pyruvate O2-phosphotransferase,1,28.26,37.34,16.45,24.73,28.26,1.32
rxn05782,Phosphoprotein phosphohydrolase,25,35.27,46.62,30.2,25.28,35.27,1.32
rxn17849,phosphatase III,25,35.27,46.62,30.2,25.28,35.27,1.32
rxn40816,rxn40816,1,28.26,37.34,16.45,24.73,28.26,1.32
rxn48155,rxn48155,25,35.27,46.62,30.2,25.28,35.27,1.32
rxn06328,alpha-L-fucoside fucohydrolase,1,0.52,3.12,2.38,1.03,2.38,1.31
rxn17847,transfer ribonucleate intron endoribonuclease,2,3.39,4.43,1.49,2.04,3.39,1.31
rxn19147,alpha-L-fucoside fucohydrolase,1,0.52,3.12,2.38,1.03,2.38,1.31
rxn43462,rxn43462,1,0.52,3.12,2.38,1.03,2.38,1.31
rxn00735,"(2R,3S)-3-methylmalate:NAD+ oxidoreductase",1,4.54,5.92,1.57,3.93,4.54,1.3
rxn03062,3-Isopropylmalate:NAD+ oxidoreductase,1,4.54,5.92,1.57,3.93,4.54,1.3
rxn11245,RXN-13158.c,1,4.54,5.92,1.57,3.93,4.54,1.3
rxn00061,ATP diphosphohydrolase (phosphate-forming),1,1.35,1.73,0.4,0.22,1.35,1.28
rxn00092,ADP phosphohydrolase,1,1.35,1.73,0.4,0.22,1.35,1.28
rxn00116,UDP phosphohydrolase,1,1.35,1.73,0.4,0.22,1.35,1.28
rxn00120,UTP phosphohydrolase,1,1.35,1.73,0.4,0.22,1.35,1.28
rxn00366,CDP phosphohydrolase,1,1.35,1.73,0.4,0.22,1.35,1.28
rxn00408,CTP phosphohydrolase,1,1.35,1.73,0.4,0.22,1.35,1.28
rxn00513,ITP phosphohydrolase,1,1.35,1.73,0.4,0.22,1.35,1.28
rxn00706,IDP phosphohydrolase,1,1.35,1.73,0.4,0.22,1.35,1.28
rxn01511,dTDP phosphohydrolase,1,1.35,1.73,0.4,0.22,1.35,1.28
rxn01514,dTTP nucleotidohydrolase,1,1.35,1.73,0.4,0.22,1.35,1.28
rxn02866,"3-methylbutanoyl-CoA:(acceptor) 2,3-oxidoreductase",1,7.24,12.98,9.06,10.13,10.13,1.28
rxn06585,3-Methylbutanoyl-CoA:(acceptor) oxidoreductase,1,7.24,12.98,9.06,10.13,10.13,1.28
rxn13414,ATP diphosphohydrolase (phosphate-forming),1,1.35,1.73,0.4,0.22,1.35,1.28
rxn22519,ATP diphosphohydrolase (phosphate-forming),1,1.35,1.73,0.4,0.22,1.35,1.28
rxn26011,3-methylbutanoyl-CoA:(acceptor) oxidoreductase,1,7.24,12.98,9.06,10.13,10.13,1.28
rxn33892,Apyrase,1,1.35,1.73,0.4,0.22,1.35,1.28
rxn22929,Gcd10p-Gcd14p,1,8.49,10.68,7.35,4.39,8.49,1.26
rxn00183,L-Glutamate 5-semialdehyde:NAD+ oxidoreductase,1,9.48,11.74,4.06,3.78,9.48,1.24
rxn43029,rxn43029,2,0.26,2.21,1.78,0.28,1.78,1.24
rxn03519,"ATP:1D-myo-inositol 1,3,4,5,6-pentakisphosphate 2-phosphotransferase",1,2.55,3.12,1.86,0.57,2.55,1.23
rxn00908,glycine synthase,2,2.5,9.86,4.44,8.09,8.09,1.22
rxn01652,S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltra,1,2.5,9.86,4.44,8.09,8.09,1.22
rxn06600,S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltra,1,2.5,9.86,4.44,8.09,8.09,1.22
rxn19766,[protein]-8-S-aminomethyldihydrolipoyllysine:tetrahydrofolate aminomet,1,2.5,9.86,4.44,8.09,8.09,1.22
rxn41294,rxn41294,1,2.5,9.86,4.44,8.09,8.09,1.22
rxn42527,rxn42527,1,12.2,14.86,6.83,8.95,12.2,1.22
rxn00786,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycer",3,16.29,50.24,16.99,41.41,41.41,1.21
rxn01334,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",3,16.29,50.24,16.99,41.41,41.41,1.21
rxn01870,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,3,16.29,50.24,16.99,41.41,41.41,1.21
rxn07058,R06137,5,6.1,16.17,6.06,13.31,13.31,1.21
rxn15116,"beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (g",3,16.29,50.24,16.99,41.41,41.41,1.21
rxn33841,Fructose Bisphosphate Aldolase,3,16.29,50.24,16.99,41.41,41.41,1.21
rxn33866,"Sedoheptulose 1,7 Bisphosphate Aldolase",3,16.29,50.24,16.99,41.41,41.41,1.21
rxn42184,rxn42184,3,16.29,50.24,16.99,41.41,41.41,1.21
rxn44492,rxn44492,9,247.02,468.69,287.23,386.19,386.19,1.21
rxn00146,(R)-Lactate:ferricytochrome-c 2-oxidoreductase,1,7.39,10.34,7.2,8.63,8.63,1.2
rxn08783,DLACTDEHYDROGFAD-RXN.c.metaexp.CPD-9956_UBIQUINONE-8,1,7.39,10.34,7.2,8.63,8.63,1.2
rxn13717,D-lactate dehydrogenase,1,7.39,10.34,7.2,8.63,8.63,1.2
rxn13718,D-lactate dehydrogenase,1,7.39,10.34,7.2,8.63,8.63,1.2
rxn19372,D-lactate dehydrogenase (cytochrome),1,7.39,10.34,7.2,8.63,8.63,1.2
rxn32368,D-lactate dehydrogenase (cytochrome),1,7.39,10.34,7.2,8.63,8.63,1.2
rxn05920,CTP:dolichol O-phosphotransferase,1,1.35,4.19,3.51,1.92,3.51,1.19
rxn19636,dolichol phosphokinase,1,1.35,4.19,3.51,1.92,3.51,1.19
rxn17834,ribonuclease P,1,1.87,2.21,1.57,1.66,1.87,1.18
rxn18178,histone deacetylase,3,10.36,18.9,16.07,14.17,16.07,1.18
rxn26402,RXN0-6480.c,1,1.87,2.21,1.57,1.66,1.87,1.18
rxn41256,rxn41256,3,10.36,18.9,16.07,14.17,16.07,1.18
rxn46933,rxn46933,1,1.87,2.21,1.57,1.66,1.87,1.18
rxn34029,Orotate Phosphoribosyltransferase,2,1.2,1.4,0.16,1.01,1.2,1.16
