protein_id	sprot_acc	pident	evalue	protein_name	EC	GO	KEGG
KAN1675562.1	P87141	35.7	4.2e-267	Target of rapamycin complex 1 subunit mip1		GO:0000329;GO:0001558;GO:0005737;GO:0007584;GO:0009267;GO:0010506;GO:0030307;GO:0030435;GO:0030674;GO:0030874;GO:0031139;GO:0031929;GO:0031931;GO:0038202;GO:0051321;GO:0051726;GO:0071230	spo:2542404
KAN1675563.1	Q6TGJ8	65.4	4.0e-207	Nucleolar GTP-binding protein 2		GO:0005525;GO:0005730;GO:0042254	
KAN1675564.1	P42894	74.3	7.9e-209	Enolase	4.2.1.11	GO:0000015;GO:0000287;GO:0004634;GO:0006096	
KAN1675568.1	P54644	40.0	3.4e-80	RAC family serine/threonine-protein kinase homolog	2.7.11.1	GO:0000281;GO:0004674;GO:0004691;GO:0005524;GO:0005547;GO:0005829;GO:0005886;GO:0005938;GO:0007163;GO:0019887;GO:0030010;GO:0030011;GO:0030295;GO:0030334;GO:0031005;GO:0031036;GO:0031153;GO:0031154;GO:0031252;GO:0031267;GO:0031269;GO:0032060;GO:0035556;GO:0042542;GO:0043327;GO:0044351;GO:0046580;GO:0048015;GO:0050765;GO:0050920;GO:0090382;GO:0106310;GO:0110094;GO:0140986;GO:1903013;GO:1904630;GO:1905303	ddi:DDB_G0268620
KAN1675575.1	Q9P7D3	33.1	1.6e-37	WHI2-like protein P4H10.16c		GO:0003723;GO:0005634;GO:0005829;GO:0045292;GO:0071013	spo:2541358
KAN1675576.1	Q9P7F2	31.6	6.2e-97	Copper amine oxidase 1	1.4.3.21 {ECO:0000269|PubMed:16946276}	GO:0005507;GO:0005737;GO:0005829;GO:0006878;GO:0008131;GO:0009308;GO:0009310;GO:0042764;GO:0048038;GO:1990748	spo:2541754
KAN1675582.1	Q9UU99	50.5	3.3e-69	CRAL-TRIO domain-containing protein C23B6.04c		GO:0005628;GO:0005886;GO:0008526;GO:0035091;GO:0120010	spo:2539120
KAN1675583.1	J9VXM5	61.4	0.0e+00	Chitin synthase 3	2.4.1.16 {ECO:0000305|PubMed:16278457}	GO:0000131;GO:0004100;GO:0005886;GO:0005935;GO:0006031;GO:0030428;GO:0045009;GO:0071555;GO:0097271	cng:CNAG_05581
KAN1675584.1	Q9UW02	54.3	1.1e-38	Thioredoxin		GO:0015035	
KAN1675585.1	W4KMP1	55.0	8.4e-87	AA9 family lytic polysaccharide monooxygenase B	1.14.99.56 {ECO:0000269|PubMed:29660793}	GO:0004497;GO:0005576;GO:0030245;GO:0046872	hir:HETIRDRAFT_166613
KAN1675586.1	P25042	41.0	9.4e-10	Repressor ROX1		GO:0000122;GO:0000785;GO:0000978;GO:0000987;GO:0001227;GO:0001228;GO:0003714;GO:0005634;GO:0006351;GO:0008301;GO:0030154;GO:0036295;GO:0043565;GO:0045944;GO:0071470;GO:0071472	sce:YPR065W
KAN1675589.1	Q8J0Q0	38.3	1.4e-101	Mannosyl-oligosaccharide 1,2-alpha-mannosidase	3.2.1.113 {ECO:0000250|UniProtKB:P32906}	GO:0004571;GO:0005509;GO:0005783;GO:0005975;GO:0016020;GO:0036503	
KAN1675597.1	O74885	47.7	1.0e-121	Alpha-ketoglutarate-dependent xanthine dioxygenase xan1	1.14.11.48 {ECO:0000269|PubMed:15948966}	GO:0005506;GO:0005634;GO:0005829;GO:0009115;GO:0097641	spo:2539549
KAN1675601.1	O14171	46.8	4.3e-74	Dehydrodolichyl diphosphate synthase complex subunit SPAC4D7.04c	2.5.1.87 {ECO:0000303|PubMed:25066056}	GO:0005783;GO:0005811;GO:0016094;GO:0043048;GO:0045547;GO:0098554;GO:1904423	spo:2543620
KAN1675604.1	O74885	51.7	1.6e-136	Alpha-ketoglutarate-dependent xanthine dioxygenase xan1	1.14.11.48 {ECO:0000269|PubMed:15948966}	GO:0005506;GO:0005634;GO:0005829;GO:0009115;GO:0097641	spo:2539549
KAN1675611.1	Q6AX59	33.3	4.3e-10	Protein ABHD8	3.-.-.-	GO:0004620;GO:0005739;GO:0006654;GO:0042171;GO:0052689;GO:0055088;GO:1900226	xla:447237
KAN1675620.1	A0A4P1LYB6	40.6	1.4e-172	Non-canonical aromatic amino acid decarboxylase	4.1.1.- {ECO:0000269|PubMed:30484626};4.1.1.105 {ECO:0000269|PubMed:30484626};4.1.1.25 {ECO:0000269|PubMed:30484626};4.1.1.53 {ECO:0000269|PubMed:30484626}	GO:0003700;GO:0004837;GO:0019752;GO:0030170;GO:0036469;GO:0043565;GO:0050174	
KAN1675623.1	P36013	46.0	1.5e-157	NAD-dependent malic enzyme, mitochondrial	1.1.1.38 {ECO:0000250|UniProtKB:P23368}	GO:0004470;GO:0004471;GO:0005739;GO:0005759;GO:0006108;GO:0006520;GO:0008948;GO:0046872;GO:0051287	sce:YKL029C
KAN1675627.1	M5EAX2	40.1	4.5e-145	GMC oxidoreductase family protein Mala s 12	1.-.-.- {ECO:0000305}	GO:0005576;GO:0016614;GO:0050660	msym:MSY001_2108
KAN1675628.1	Q9UUC1	63.7	1.7e-63	Large ribosomal subunit protein eL21A		GO:0002181;GO:0003735;GO:0005829;GO:0022625;GO:0030684	spo:2540950
KAN1675629.1	Q09757	89.8	2.2e-108	Small ribosomal subunit protein uS4A		GO:0002181;GO:0003735;GO:0005829;GO:0010494;GO:0019843;GO:0022627;GO:0042274	spo:2542629
KAN1675630.1	O74968	39.2	3.4e-46	U1 small nuclear ribonucleoprotein usp102		GO:0000395;GO:0000398;GO:0005634;GO:0005685;GO:0005730;GO:0030619;GO:0071004	spo:2540865
KAN1675636.1	O74435	68.5	2.8e-68	Cell division control protein 31		GO:0000226;GO:0005509;GO:0005634;GO:0005825;GO:0005829;GO:0008017;GO:0030474;GO:0035974;GO:0043161;GO:0044732;GO:0051301;GO:0061496;GO:1903087;GO:1990395	spo:2539261
KAN1675638.1	Q9Y7P4	49.6	5.3e-94	Large ribosomal subunit protein uL2m		GO:0003723;GO:0003735;GO:0005743;GO:0005762;GO:0016740;GO:0032543	spo:2539321
KAN1675639.1	Q4P6N7	78.2	1.1e-238	RuvB-like helicase 2	3.6.4.12	GO:0000492;GO:0000812;GO:0003678;GO:0005524;GO:0006281;GO:0006338;GO:0006351;GO:0006357;GO:0006364;GO:0016887;GO:0031011;GO:0035267;GO:0043138;GO:0043139;GO:0097255	uma:UMAG_04226
KAN1675643.1	P38347	30.2	2.4e-12	Protein-lysine N-methyltransferase EFM2	2.1.1.- {ECO:0000269|PubMed:21858014, ECO:0000269|PubMed:22522802, ECO:0000269|PubMed:24517342, ECO:0000269|PubMed:25086354}	GO:0005737;GO:0008276;GO:0008757;GO:0016279;GO:0032259;GO:0045905	sce:YBR271W
KAN1675650.1	Q10169	39.0	5.6e-38	Deubiquitination-protection protein dph1		GO:0005634;GO:0005829;GO:0006511;GO:0031593;GO:0036503;GO:0043161	spo:2542667
KAN1675653.1	O42976	33.3	1.9e-56	Uncharacterized membrane protein C20F10.07		GO:0005739;GO:0005789;GO:0005886;GO:0008289;GO:0032366;GO:0032541;GO:0032934;GO:0044233;GO:0055092;GO:0071561;GO:0120011;GO:0120015;GO:0140268;GO:1990578	spo:2540703
KAN1675655.1	Q10088	50.1	1.4e-110	Putative agmatinase 1	3.5.3.11	GO:0005783;GO:0008783;GO:0019627;GO:0033389;GO:0046872	spo:2541568
KAN1675663.1	P17702	34.9	4.7e-13	Large ribosomal subunit protein eL28		GO:0002181;GO:0003735;GO:0005737;GO:0005783;GO:0005829;GO:0022625;GO:0022626;GO:0030425;GO:0036464;GO:0044297;GO:0045202	
KAN1675665.1	P17326	34.0	3.9e-152	Sodium/potassium-transporting ATPase subunit alpha-A	7.2.2.13	GO:0005391;GO:0005524;GO:0006883;GO:0016887;GO:0030007;GO:0036376;GO:0046872;GO:0090533;GO:0098797;GO:1902600;GO:1990573	
KAN1675666.1	J5JHE8	37.5	3.6e-30	Secreted LysM effector Blys4			
KAN1675667.1	P00427	67.6	6.2e-42	Cytochrome c oxidase subunit 6, mitochondrial		GO:0005739;GO:0005743;GO:0006123;GO:0016491;GO:0045277;GO:0046872;GO:1902600	sce:YHR051W
KAN1675671.1	O74468	33.9	8.2e-84	Probable uroporphyrinogen-III C-methyltransferase	2.1.1.107	GO:0000103;GO:0004851;GO:0009086;GO:0019354;GO:0032259	spo:2538945
KAN1675672.1	P41004	37.1	6.2e-209	Structural maintenance of chromosomes protein 4		GO:0000785;GO:0000796;GO:0005524;GO:0005634;GO:0005737;GO:0005829;GO:0007076;GO:0015616;GO:0016887;GO:0051301	spo:2539817
KAN1675673.1	P43568	35.4	2.9e-13	Serine/threonine-protein kinase CAK1	2.7.11.22	GO:0000086;GO:0004674;GO:0004693;GO:0005524;GO:0005634;GO:0005737;GO:0051321;GO:0060633;GO:0097472;GO:0106310	sce:YFL029C
KAN1675677.1	Q9UBQ7	41.3	6.1e-75	Glyoxylate reductase/hydroxypyruvate reductase	1.1.1.79 {ECO:0000269|PubMed:10484776, ECO:0000269|PubMed:10524214};1.1.1.81 {ECO:0000269|PubMed:10484776, ECO:0000269|PubMed:10524214}	GO:0005737;GO:0005739;GO:0005782;GO:0005829;GO:0008465;GO:0016618;GO:0019752;GO:0030267;GO:0031406;GO:0042803;GO:0043648;GO:0046487;GO:0051287;GO:0070062;GO:0070402;GO:0120509;GO:1902494	hsa:9380
KAN1675678.1	Q6D9D7	36.1	5.3e-23	G/U mismatch-specific DNA glycosylase	3.2.2.28 {ECO:0000255|HAMAP-Rule:MF_01956}	GO:0003677;GO:0004844;GO:0005737;GO:0006285;GO:0008263	eca:ECA0679
KAN1675682.1	P43564	39.7	1.7e-130	Probable lipase MIL1	3.1.1.- {ECO:0000305|PubMed:26658609}	GO:0000139;GO:0016020;GO:0016787;GO:0030665;GO:0031901;GO:0035650;GO:0035652	sce:YFL034W
KAN1675686.1	O74438	30.4	1.5e-39	Meiotic coiled-coil protein 2		GO:0000288;GO:0000932;GO:0003730;GO:0005737;GO:0010608;GO:0051321	spo:2539137
KAN1675689.1	A0A5J6BJQ5	50.0	2.0e-71	AA9 family lytic polysaccharide monooxygenase H	1.14.99.56 {ECO:0000269|PubMed:31540984}	GO:0004497;GO:0005576;GO:0030245;GO:0046872	
KAN1675691.1	Q5V9F0	42.8	4.0e-106	Cytosol aminopeptidase	3.4.11.1;3.4.11.5	GO:0005737;GO:0006508;GO:0008233;GO:0030145;GO:0070006	ddi:DDB_G0279793
KAN1675692.1	Q5V9F0	44.8	1.5e-115	Cytosol aminopeptidase	3.4.11.1;3.4.11.5	GO:0005737;GO:0006508;GO:0008233;GO:0030145;GO:0070006	ddi:DDB_G0279793
KAN1675693.1	Q5V9F0	44.8	1.5e-115	Cytosol aminopeptidase	3.4.11.1;3.4.11.5	GO:0005737;GO:0006508;GO:0008233;GO:0030145;GO:0070006	ddi:DDB_G0279793
KAN1675694.1	Q5V9F0	44.8	1.5e-115	Cytosol aminopeptidase	3.4.11.1;3.4.11.5	GO:0005737;GO:0006508;GO:0008233;GO:0030145;GO:0070006	ddi:DDB_G0279793
KAN1675695.1	Q5V9F0	44.8	1.5e-115	Cytosol aminopeptidase	3.4.11.1;3.4.11.5	GO:0005737;GO:0006508;GO:0008233;GO:0030145;GO:0070006	ddi:DDB_G0279793
KAN1675696.1	Q5V9F0	44.8	1.5e-115	Cytosol aminopeptidase	3.4.11.1;3.4.11.5	GO:0005737;GO:0006508;GO:0008233;GO:0030145;GO:0070006	ddi:DDB_G0279793
KAN1675697.1	Q5V9F0	44.8	1.5e-115	Cytosol aminopeptidase	3.4.11.1;3.4.11.5	GO:0005737;GO:0006508;GO:0008233;GO:0030145;GO:0070006	ddi:DDB_G0279793
KAN1675698.1	Q5V9F0	44.8	1.9e-116	Cytosol aminopeptidase	3.4.11.1;3.4.11.5	GO:0005737;GO:0006508;GO:0008233;GO:0030145;GO:0070006	ddi:DDB_G0279793
KAN1675699.1	Q17RS7	31.2	1.5e-16	Flap endonuclease GEN homolog 1	3.1.-.-	GO:0000287;GO:0000400;GO:0000724;GO:0005654;GO:0005813;GO:0008821;GO:0010824;GO:0017108;GO:0031297;GO:0042803;GO:0071139;GO:0071140;GO:0090267	hsa:348654
KAN1675703.1	Q10177	39.3	1.8e-89	Manganese transporter pdt1		GO:0005384;GO:0005789;GO:0005886;GO:0006828;GO:0030026;GO:0046872;GO:0071421	spo:2542283
KAN1675704.1	Q8NK92	35.1	1.6e-99	Aorsin	3.4.21.-	GO:0004252;GO:0005576;GO:0006508;GO:0008240;GO:0046872	aor:AO090026000083
KAN1675707.1	F1SY91	43.7	6.3e-153	Cytochrome P450 monooxygenase 98	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1675708.1	O36032	50.5	1.5e-28	Glutaredoxin-1		GO:0005634;GO:0005737;GO:0005829;GO:0015038;GO:0034599	spo:2543556
KAN1675709.1	O59826	50.4	3.2e-96	Putative voltage-gated potassium channel subunit beta	1.1.1.- {ECO:0000250|UniProtKB:P62483}	GO:0005634;GO:0005829;GO:0016491;GO:0034702;GO:0071805	spo:2539573
KAN1675711.1	P22142	75.8	6.3e-229	NADH-ubiquinone oxidoreductase 49 kDa subunit, mitochondrial	7.1.1.2	GO:0005743;GO:0006120;GO:0008137;GO:0016651;GO:0045271;GO:0046872;GO:0048038;GO:0051287;GO:0051539	ncr:NCU02534
KAN1675713.1	A0A2B7YEY0	31.0	1.4e-71	Cytochrome P450 monooxygenase polD	1.-.-.- {ECO:0000269|PubMed:36602159}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1675715.1	O43011	51.2	7.8e-165	Histidine--tRNA ligase, mitochondrial	6.1.1.21	GO:0002181;GO:0003723;GO:0004821;GO:0005524;GO:0005739;GO:0005759;GO:0005829;GO:0006427;GO:0032543	spo:2540472
KAN1675717.1	Q09922	46.6	5.2e-07	Uncharacterized transcriptional regulatory protein C1F7.11c		GO:0000978;GO:0000981;GO:0005634;GO:0005829;GO:0006351;GO:0006357;GO:0008270	spo:2541541
KAN1675721.1	Q4PB04	94.2	1.8e-78	Histone H3.2		GO:0000776;GO:0005634;GO:0005654;GO:0007080;GO:0030527;GO:0031492;GO:0031507;GO:0043505;GO:0046982;GO:0051382	uma:UMAG_02709
KAN1675722.1	Q84TH4	56.8	9.1e-27	Serine/arginine-rich splicing factor SR45a		GO:0000398;GO:0003729;GO:0005634;GO:0005681;GO:0008380;GO:0009507;GO:0009644;GO:0016607;GO:0043484	ath:AT1G07350
KAN1675725.1	O13901	33.1	8.3e-33	Uncharacterized CDP-alcohol phosphatidyltransferase class-I family protein C22A12.10		GO:0004142;GO:0004307;GO:0005635;GO:0005783;GO:0005789;GO:0006646;GO:0006654;GO:0006656;GO:0101026	spo:2541829
KAN1675726.1	B8MZZ6	39.2	1.8e-42	Probable exopolygalacturonase C	3.2.1.67	GO:0004650;GO:0005576;GO:0045490;GO:0047911;GO:0071555	
KAN1675729.1	P41925	41.5	2.0e-24	Ras-like GTP-binding protein RYL2		GO:0003924;GO:0005525;GO:0005769;GO:0005886;GO:0006886;GO:0012505	yli:2906287
KAN1675735.1	O94168	40.7	3.2e-134	Carbon catabolite-derepressing protein kinase	2.7.11.1	GO:0000132;GO:0000144;GO:0001403;GO:0004679;GO:0005085;GO:0005524;GO:0005641;GO:0005774;GO:0006986;GO:0010920;GO:0016239;GO:0017148;GO:0031588;GO:0031965;GO:0032933;GO:0034976;GO:0042149;GO:0042802;GO:0045722;GO:0045944;GO:0061762;GO:0071940;GO:0090606;GO:0106310;GO:1900436;GO:1904262;GO:2000217;GO:2000222	
KAN1675736.1	Q00808	41.1	1.8e-21	Vegetative incompatibility protein HET-E-1		GO:0005525;GO:0035097	
KAN1675737.1	P87137	32.9	2.0e-64	Uncharacterized protein C57A7.06		GO:0005634;GO:0005730;GO:0030490;GO:0032040	spo:2542351
KAN1677085.1	Q5ZIA5	49.1	3.9e-302	Coatomer subunit beta		GO:0000139;GO:0005198;GO:0005829;GO:0006886;GO:0006888;GO:0006891;GO:0030126	gga:423063
KAN1677094.1	Q00808	30.5	1.1e-22	Vegetative incompatibility protein HET-E-1		GO:0005525;GO:0035097	
KAN1677098.1	P55852	47.6	2.0e-19	Small ubiquitin-related modifier 1		GO:0005634;GO:0005737;GO:0005829;GO:0009408;GO:0010286;GO:0016925;GO:0031386;GO:0044389	ath:AT4G26840
KAN1677101.1	F1SY91	47.7	1.3e-158	Cytochrome P450 monooxygenase 98	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1677103.1	P38096	44.1	2.4e-62	Lactam utilization protein lamB		GO:0005975;GO:0009448	ani:ANIA_00886
KAN1677105.1	A2QV36	57.3	5.1e-107	Probable pectate lyase A	4.2.2.2	GO:0005576;GO:0030570;GO:0045490;GO:0046872;GO:0071555	ang:An10g00870
KAN1677106.1	P38095	37.5	3.3e-262	Putative urea carboxylase	6.3.4.6	GO:0004847;GO:0005524;GO:0016787;GO:0046872	ani:ANIA_00887
KAN1677116.1	A0A2B7YEY0	32.2	2.7e-71	Cytochrome P450 monooxygenase polD	1.-.-.- {ECO:0000269|PubMed:36602159}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1677118.1	A2QV36	56.4	8.9e-108	Probable pectate lyase A	4.2.2.2	GO:0005576;GO:0030570;GO:0045490;GO:0046872;GO:0071555	ang:An10g00870
KAN1677122.1	F1SY91	39.6	6.7e-121	Cytochrome P450 monooxygenase 98	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1677123.1	G4TS85	44.8	4.4e-128	Inorganic phosphate transporter PHO84		GO:0005315;GO:0005886;GO:0035435;GO:0042301	
KAN1677125.1	A0A0S6XHQ0	39.5	9.2e-82	2-oxoglutarate-dependent dioxygenase frbJ	1.14.-.- {ECO:0000305|PubMed:27660098}	GO:0044283;GO:0046872;GO:0051213	
KAN1677128.1	P30675	89.3	1.0e-230	Guanine nucleotide-binding protein subunit alpha		GO:0000750;GO:0001664;GO:0003924;GO:0005525;GO:0005737;GO:0005834;GO:0007010;GO:0007186;GO:0031683;GO:0046872	
KAN1677130.1	Q9SK39	53.5	2.9e-22	Probable steroid-binding protein 3		GO:0005496;GO:0005634;GO:0005773;GO:0005829;GO:0012505;GO:0016020	ath:AT2G24940
KAN1677135.1	G4TS85	44.1	6.5e-133	Inorganic phosphate transporter PHO84		GO:0005315;GO:0005886;GO:0035435;GO:0042301	
KAN1677139.1	Q7ZTL7	31.2	5.4e-55	Mitochondrial chaperone BCS1	3.6.1.- {ECO:0000250|UniProtKB:P32839}	GO:0005524;GO:0005743;GO:0016887;GO:0032979;GO:0034551	xla:380366
KAN1677145.1	Q2QMI0	38.0	1.2e-11	CBL-interacting protein kinase 4	2.7.11.1	GO:0004674;GO:0005524;GO:0007165;GO:0106310	dosa:Os12g0603700;osa:4352728
KAN1677148.1	P14306	30.9	1.3e-09	Carboxypeptidase Y inhibitor		GO:0000328;GO:0000329;GO:0004867;GO:0005543;GO:0005737;GO:0030162;GO:0030414;GO:0046578	sce:YLR178C
KAN1677150.1	P0CR60	82.5	7.0e-90	Sorting nexin-3		GO:0000139;GO:0015031;GO:0030904;GO:0031901;GO:0032266;GO:0032456;GO:0034499	
KAN1677159.1	Q8N4G2	40.6	1.4e-23	ADP-ribosylation factor-like protein 14		GO:0003924;GO:0005525;GO:0005737;GO:0005886;GO:0006886;GO:0016192;GO:0030010;GO:0031410	hsa:80117
KAN1677161.1	P0DXZ0	44.8	3.2e-74	Glutathione-independent formaldehyde dehydrogenase	1.2.1.46 {ECO:0000269|PubMed:23989142, ECO:0000269|PubMed:24125754}	GO:0008270;GO:0018467	pag:PLES_58161
KAN1677165.1	P9WEI7	36.6	2.5e-100	Cytochrome P450 monooxygenase claR	1.-.-.- {ECO:0000269|PubMed:38602511}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1677170.1	A0A3G9JYJ6	66.7	4.2e-69	Caffeoylpyruvate hydrolase	3.7.-.- {ECO:0000269|PubMed:28508049}	GO:0016787;GO:0046872	
KAN1677171.1	Q5U752	30.5	8.8e-44	Interferon-induced GTP-binding protein Mx		GO:0003924;GO:0005525;GO:0005634;GO:0005737;GO:0005874;GO:0005886;GO:0008017;GO:0016185;GO:0031623;GO:0051607;GO:0098793	
KAN1677175.1	P0DXZ0	44.1	7.5e-85	Glutathione-independent formaldehyde dehydrogenase	1.2.1.46 {ECO:0000269|PubMed:23989142, ECO:0000269|PubMed:24125754}	GO:0008270;GO:0018467	pag:PLES_58161
KAN1677176.1	M5EAX2	32.7	9.7e-83	GMC oxidoreductase family protein Mala s 12	1.-.-.- {ECO:0000305}	GO:0005576;GO:0016614;GO:0050660	msym:MSY001_2108
KAN1677178.1	A0A1B1ZGB5	35.3	5.6e-224	Adenylate-forming reductase Nps10	1.2.1.- {ECO:0000269|PubMed:27457378}	GO:0005524;GO:0016491;GO:0031177	
KAN1677182.1	Q9P3U4	43.6	6.3e-144	E3 ubiquitin-protein ligase dbl4	2.3.2.31 {ECO:0000250|UniProtKB:O60260}	GO:0000151;GO:0005634;GO:0005737;GO:0005829;GO:0006511;GO:0008270;GO:0016567;GO:0031624;GO:0035861;GO:0061630	spo:2543148
KAN1677184.1	F9WWD1	41.8	7.0e-98	Type 2 glycosyltransferase	2.4.1.- {ECO:0000305|PubMed:29020037}	GO:0005886;GO:0016757;GO:0030446;GO:0030448	ztr:MYCGRDRAFT_65552
KAN1677185.1	S7QKE2	60.5	1.0e-90	AA9 family lytic polysaccharide monooxygenase C	1.14.99.54 {ECO:0000305|PubMed:27590806};1.14.99.56 {ECO:0000305|PubMed:27590806}	GO:0004497;GO:0005576;GO:0030245;GO:0046872	gtr:GLOTRDRAFT_103762
KAN1677190.1	P34101	31.1	1.8e-54	Probable serine/threonine-protein kinase fhkC	2.7.11.1	GO:0000077;GO:0004674;GO:0005524;GO:0005634;GO:0005737;GO:0006974;GO:0044773;GO:0106310	ddi:DDB_G0281567
KAN1677194.1	P38972	53.8	0.0e+00	Phosphoribosylformylglycinamidine synthase	6.3.5.3	GO:0004642;GO:0005524;GO:0005737;GO:0006164;GO:0006189;GO:0046872	sce:YGR061C
KAN1677195.1	Q875B6	30.0	4.6e-14	Protein SQS1		GO:0003676;GO:0005634;GO:0005737;GO:0006397;GO:0008380	
KAN1677199.1	Q6DDM4	34.0	1.5e-11	Apoptosis inhibitor 5-A		GO:0003723;GO:0005634;GO:0006915;GO:0043066	xla:446672
KAN1677201.1	G2X2I9	40.6	1.3e-121	Sugar transporter 12		GO:0005351;GO:0016020	vda:VDAG_04513
KAN1677202.1	O31463	31.1	1.4e-34	Homocysteine S-methyltransferase YbgG	2.1.1.10	GO:0008270;GO:0008898;GO:0009086;GO:0032259;GO:0033528;GO:0061627	bsu:BSU02410
KAN1677203.1	B8PAR0	82.9	1.4e-160	Small ribosomal subunit protein uS2		GO:0000028;GO:0003735;GO:0006412;GO:0022627	ppl:POSPLDRAFT_114210
KAN1677204.1	O59952	30.9	2.0e-23	Lipase	3.1.1.3	GO:0004806;GO:0016042	
KAN1677208.1	P36035	35.1	4.8e-68	Carboxylic acid transporter protein homolog		GO:0000324;GO:0005739;GO:0005886;GO:0006849;GO:0015136;GO:0035879;GO:0046943;GO:0071944;GO:0097079;GO:0097080	sce:YKL217W
KAN1677209.1	P53914	57.3	0.0e+00	RNA cytidine acetyltransferase	2.3.1.- {ECO:0000255|HAMAP-Rule:MF_03211}	GO:0000049;GO:0002101;GO:0005524;GO:0005730;GO:0016556;GO:0030490;GO:0030515;GO:0030686;GO:0030688;GO:0042274;GO:0051391;GO:0051392;GO:1904812;GO:1990883	sce:YNL132W
KAN1677213.1	P34101	33.6	4.0e-65	Probable serine/threonine-protein kinase fhkC	2.7.11.1	GO:0000077;GO:0004674;GO:0005524;GO:0005634;GO:0005737;GO:0006974;GO:0044773;GO:0106310	ddi:DDB_G0281567
KAN1677216.1	Q10248	43.8	3.5e-75	Glutamate/glycine mitochondrial carrier ymc1		GO:0005739;GO:0005743;GO:0006783;GO:0015187;GO:1904983;GO:1990575	spo:2543680
KAN1677220.1	Q6H628	48.8	4.6e-19	Monothiol glutaredoxin-S6		GO:0005737;GO:0015038;GO:0034599;GO:0046872;GO:0051537	dosa:Os02g0646400
KAN1677221.1	A0A0W0FPC8	53.7	7.2e-129	chitinase-like effector		GO:0004568;GO:0005576;GO:0005975;GO:0006032;GO:0008061	
KAN1677223.1	P20133	45.4	3.7e-88	Geranylgeranyl transferase type-2 subunit beta	2.5.1.60	GO:0004663;GO:0005829;GO:0005968;GO:0006612;GO:0006888;GO:0008270;GO:0018344;GO:0031267;GO:0170069	sce:YPR176C
KAN1677224.1	Q9USU9	53.7	6.0e-13	Transcription initiation factor IIA large subunit		GO:0005634;GO:0005672;GO:0005829;GO:0006366;GO:0006367;GO:0016251	spo:2540632
KAN1677232.1	P87131	46.7	1.7e-94	Cysteine synthase 2	2.5.1.47	GO:0005737;GO:0005739;GO:0005741;GO:0016740;GO:0019344	spo:2542583
KAN1677233.1	Q59WH0	34.1	1.1e-92	Transcriptional adapter 2		GO:0000124;GO:0000183;GO:0000781;GO:0001786;GO:0003682;GO:0003713;GO:0005634;GO:0006338;GO:0006351;GO:0006357;GO:0008270;GO:0010520;GO:0010811;GO:0030447;GO:0031505;GO:0031509;GO:0043565;GO:0043709;GO:0044114;GO:0044182;GO:0046695;GO:0070461;GO:0071466;GO:0071470;GO:0140671;GO:1900189;GO:1990414	cal:CAALFM_C110860CA
KAN1677245.1	Q5BAD0	35.4	1.1e-18	Protein N-terminal and lysine N-methyltransferase efm7	2.1.1.- {ECO:0000255|HAMAP-Rule:MF_03223}	GO:0005737;GO:0008276;GO:0016279;GO:0032259;GO:0071885	ani:ANIA_02500
KAN1677246.1	F9FAJ9	33.1	9.8e-17	Bifunctional dioxygenase (DOX)-epoxy alcohol synthase (EAS)	1.-.-.- {ECO:0000269|PubMed:25121983};1.13.11.- {ECO:0000269|PubMed:25121983};1.13.11.62 {ECO:0000269|PubMed:25121983}	GO:0004497;GO:0004601;GO:0005506;GO:0006631;GO:0006979;GO:0016705;GO:0020037;GO:0051213	
KAN1677250.1	P0CT60	79.1	1.4e-76	Large ribosomal subunit protein uL14A		GO:0002181;GO:0003735;GO:0005634;GO:0022625;GO:0030684;GO:0070180	spo:2539286;spo:2543453
KAN1677251.1	G2X2I9	39.4	1.6e-107	Sugar transporter 12		GO:0005351;GO:0016020	vda:VDAG_04513
KAN1677252.1	J9VS02	38.5	1.2e-67	Major aspartyl peptidase 1	3.4.23.- {ECO:0000269|PubMed:27977806, ECO:0000269|PubMed:34006103}	GO:0004190;GO:0005576;GO:0006508	cng:CNAG_05872
KAN1677255.1	A0A142I736	32.9	1.9e-09	UstYa family oxidase phomYc'	1.-.-.- {ECO:0000305|PubMed:34608734}	GO:0016020;GO:0016491;GO:0043386	
KAN1677256.1	P34762	58.1	3.3e-08	Conidiation-specific protein 6		GO:0005737;GO:0030435;GO:0048315	ncr:NCU08769
KAN1677259.1	F7J1C8	59.7	5.6e-75	Galactan endo-beta-1,3-galactanase	3.2.1.181	GO:0004553;GO:0005975	ag:BAK48741
KAN1677260.1	P49606	45.2	6.6e-254	Adenylate cyclase	4.6.1.1	GO:0004016;GO:0005524;GO:0006171;GO:0035556;GO:0046872	uma:UMAG_05232
KAN1677261.1	F7J1C8	41.5	9.3e-30	Galactan endo-beta-1,3-galactanase	3.2.1.181	GO:0004553;GO:0005975	ag:BAK48741
