protein_id	sprot_acc	pident	protein_name	EC	signal_peptide	n_TM_outside_signal	secreted
KAN1674912.1	A7EQ00	51.3	Protein ssh4			1	0
KAN1674913.1	Q10343	45.8	5'-AMP-activated protein kinase subunit gamma			0	0
KAN1674914.1	A0AAD6NH75	33.8	SNARE Protein Vam7			0	0
KAN1674915.1	Q6DHC3	36.2	Mitochondrial glutathione transporter SLC25A40			6	0
KAN1674916.1	P78954	37.9	Eukaryotic translation initiation factor 4E-1			0	0
KAN1674921.1	Q9P7W5	58.6	Serine/threonine-protein kinase rio2	2.7.11.1		0	0
KAN1674926.1	Q9SIP7	77.6	Small ribosomal subunit protein uS3z			0	0
KAN1674927.1	A0AAD6ITA8	44.1	3-ketoacyl-CoA thiolase Dda_7173	2.3.1.16 {ECO:0000250|UniProtKB:P27796}		0	0
KAN1674928.1	Q6CSD1	40.2	Protein transport protein SEC9			0	0
KAN1674929.1	J9VHE9	50.2	UHRF1-like protein			0	0
KAN1674934.1	Q9HB07	52.5	MYG1 exonuclease	3.1.-.- {ECO:0000303|PubMed:31081026}		0	0
KAN1674936.1	Q9US22	79.6	Large ribosomal subunit protein eL15B			0	0
KAN1674937.1	Q9USW3	40.5	Probable glycosidase C21B10.07	3.2.1.-		1	0
KAN1674938.1	P38254	30.3	Probable tubulin--tyrosine ligase PBY1	6.3.2.25		0	0
KAN1674940.1	P0CQ92	60.7	ATP-dependent RNA helicase DRS1	3.6.4.13		0	0
KAN1674944.1	P42023	76.4	Actin-2			0	0
KAN1674945.1	Q9SS17	65.9	Small ribosomal subunit protein eS24z			0	0
KAN1674947.1	Q01200	37.1	Protein priA		1-23	0	1
KAN1674948.1	Q9UT08	60.5	Protein phosphatase PP2A regulatory subunit A			0	0
KAN1674949.1	Q03161	38.3	Glucose-6-phosphate 1-epimerase	5.1.3.15 {ECO:0000269|PubMed:16857670}		0	0
KAN1674950.1	Q9P6L6	34.3	DNA polymerase zeta catalytic subunit	2.7.7.7		0	0
KAN1674953.1	P39992	39.9	Uncharacterized protein YEL023C			0	0
KAN1674957.1	Q8VHK9	36.2	ATP-dependent DNA/RNA helicase DHX36	3.6.4.13 {ECO:0000250|UniProtKB:Q9H2U1}		0	0
KAN1674958.1	P18484	44.2	AP-2 complex subunit alpha-2			0	0
KAN1674959.1	Q54Y08	32.2	Probable Ras GTPase-activating-like protein ngap			0	0
KAN1674960.1	Q9UTF7	51.0	Fatty acid elongase 1	2.3.1.199 {ECO:0000250|UniProtKB:P40319}		7	0
KAN1674961.1	G0S3B8	35.0	Intermembrane lipid transfer protein VPS13			0	0
KAN1674964.1	Q9JKV2	40.4	Serine/threonine-protein kinase ICK	2.7.11.1 {ECO:0000269|PubMed:24797473}		0	0
KAN1674965.1	O94641	57.4	Heat shock protein 104			0	0
KAN1674967.1	Q04859	41.0	Serine/threonine-protein kinase MAK	2.7.11.1 {ECO:0000250|UniProtKB:P20794}		0	0
KAN1674968.1	O94413	62.0	Ribose-phosphate pyrophosphokinase 2	2.7.6.1		0	0
KAN1674969.1	O13828	57.9	mRNA decapping complex subunit 2	3.-.-.-		0	0
KAN1674970.1	Q1MTN3	51.4	Inner centromere protein pic1			0	0
KAN1674972.1	P36626	39.0	Meiotic recombination protein rec8			0	0
KAN1674973.1	O42641	68.7	Isopentenyl-diphosphate delta-isomerase	5.3.3.2 {ECO:0000269|PubMed:9182699}		0	0
KAN1674975.1	Q9P7C9	37.9	m7GpppX diphosphatase	3.6.1.59 {ECO:0000269|PubMed:12366830}		0	0
KAN1674976.1	O74847	51.8	Probable mitochondrial pyruvate carrier 1			2	0
KAN1674977.1	P12000	55.1	DNA ligase 1	6.5.1.1 {ECO:0000255|PROSITE-ProRule:PRU10135}		0	0
KAN1674979.1	A0A1D8PN83	75.0	Small ribosomal subunit protein uS17			0	0
KAN1674980.1	B0XUR7	78.2	Serine/threonine-protein phosphatase ppzA	3.1.3.16 {ECO:0000305|PubMed:25943523}		0	0
KAN1674981.1	R4IR27	46.9	Subtilisin-like serine protease AsES	3.4.21.- {ECO:0000269|PubMed:23530047}	1-15	0	1
KAN1674983.1	Q07801	43.6	Dihydrofolate reductase	1.5.1.3		0	0
KAN1674984.1	Q0JL44	41.5	Protein SGT1 homolog			0	0
KAN1674991.1	P61017	60.2	Ras-related protein Rab-4B	3.6.5.2 {ECO:0000250|UniProtKB:P20338}		0	0
KAN1674992.1	Q9US35	42.6	D-serine dehydratase	4.3.1.18 {ECO:0000250|UniProtKB:P53095}		0	0
KAN1674993.1	Q9US38	46.7	AB hydrolase superfamily protein C1039.03	3.-.-.-		0	0
KAN1674994.1	Q9US37	50.7	Uncharacterized transporter C1039.04			12	0
KAN1674995.1	O13845	41.6	RNA-binding protein rsd1			0	0
KAN1674996.1	C1DMX5	61.6	L-rhamnose 1-dehydrogenase (NAD(P)(+))	1.1.1.378 {ECO:0000269|PubMed:18505728, ECO:0000269|PubMed:33482017}		0	0
KAN1674997.1	A0A8J9R8G6	31.6	Phomopsin biosynthesis cluster protein D			0	0
KAN1674998.1	P78980	30.3	Peroxisomal membrane protein PEX16			0	0
KAN1675000.1	O13779	35.0	Putative metal ion transporter C17A12.14			2	0
KAN1675001.1	B0CPQ8	67.9	rRNA biogenesis protein RRP36			0	0
KAN1675005.1	P78603	66.0	Vesicular-fusion protein SEC17			0	0
KAN1675006.1	Q9P4V2	48.9	Phosphoacetylglucosamine mutase	5.4.2.3 {ECO:0000269|PubMed:11004509}		0	0
KAN1675007.1	P53871	52.7	Probable glutamine amidotransferase DUG3			0	0
KAN1675009.1	Q2KF83	43.9	Molybdopterin synthase catalytic subunit	2.8.1.12 {ECO:0000255|HAMAP-Rule:MF_03052}		0	0
KAN1675010.1	Q9USY1	34.6	Pseudouridine-metabolizing bifunctional protein C1861.05	2.7.1.83 {ECO:0000250|UniProtKB:P30235};4.2.1.70 {ECO:0000250|UniProtKB:P33025}		0	0
KAN1675011.1	Q06683	40.7	Putative ATP-dependent helicase IRC3	3.6.4.-		0	0
KAN1675012.1	P02723	77.3	ADP/ATP translocase			6	0
KAN1675013.1	F4JYG0	34.0	E4 SUMO-protein ligase PIAL2	2.3.2.- {ECO:0000269|PubMed:25415977}		0	0
KAN1675014.1	O35685	56.0	Nuclear migration protein nudC			0	0
KAN1675015.1	O74828	35.1	Pre-rRNA-processing protein esf1			0	0
KAN1675019.1	P0CT64	70.6	Small ribosomal subunit protein uS9A			0	0
KAN1675020.1	B8DN97	40.0	Large ribosomal subunit protein uL4			0	0
KAN1675021.1	P36601	73.8	DNA repair protein rad51	3.6.4.- {ECO:0000269|PubMed:15899844}		0	0
KAN1675022.1	P40510	57.5	D-3-phosphoglycerate dehydrogenase 2	1.1.1.399 {ECO:0000269|PubMed:26774271};1.1.1.95		0	0
KAN1675023.1	Q9P4P9	51.4	Imidazole glycerol phosphate synthase hisHF	3.5.1.2;4.3.2.10		0	0
KAN1675024.1	Q9UU83	36.3	Protein pal1			0	0
KAN1675025.1	C8V7U7	43.3	Delta 8-(E)-sphingolipid desaturase	1.14.19.18 {ECO:0000250|UniProtKB:Q8NKG8}		4	0
KAN1675026.1	Q90YV5	52.6	Large ribosomal subunit protein eL13			0	0
KAN1675027.1	P42319	33.2	Uncharacterized protein YxjH			0	0
KAN1675032.1	O13282	31.9	SAGA complex/transcription factor TFIID complex subunit Taf5			0	0
KAN1675033.1	Q556Y9	47.1	Mitotic spindle assembly checkpoint protein MAD2A			0	0
KAN1675034.1	G2X9I0	52.3	NADPH oxidase A	1.6.3.- {ECO:0000250|UniProtKB:P04839}		5	0
KAN1675035.1	Q6P9I7	30.0	Structural maintenance of chromosomes protein 6			0	0
KAN1675038.1	Q08DK7	30.1	Mitochondrial basic amino acids transporter			6	0
KAN1675039.1	Q7S9B7	46.9	RNA exonuclease 4	3.1.-.-		0	0
KAN1675042.1	P0DYJ3	44.6	Rhomboid-type serine protease	3.4.21.105 {ECO:0000250|UniProtKB:O74926}		7	0
KAN1675046.1	Q84WK5	56.7	Protein GID8 homolog			0	0
KAN1675047.1	Q10407	45.7	MAP kinase kinase kinase mkh1	2.7.11.25		0	0
KAN1675049.1	Q55C72	30.9	UPF0587 protein			0	0
KAN1675051.1	P9WEU6	71.4	Arylacetonitrilase	3.5.5.1 {ECO:0000269|PubMed:31795104}		0	0
KAN1675053.1	P39826	58.5	Cell division control protein 3			0	0
KAN1675054.1	Q94522	69.3	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	6.2.1.4 {ECO:0000255|HAMAP-Rule:MF_03222};6.2.1.5 {ECO:0000255|HAMAP-Rule:MF_03222}		0	0
KAN1675056.1	Q5HC44	38.1	Small ribosomal subunit protein bS16			0	0
KAN1675057.1	Q2HJH0	74.1	U6 snRNA-associated Sm-like protein LSm5			0	0
KAN1675058.1	O48844	45.0	26S proteasome non-ATPase regulatory subunit 1 homolog A			0	0
KAN1675062.1	P46969	48.2	Ribulose-phosphate 3-epimerase	5.1.3.1 {ECO:0000250|UniProtKB:Q96AT9}		0	0
KAN1675063.1	O94122	82.8	Pyruvate kinase	2.7.1.40		0	0
KAN1675066.1	Q1DWF4	34.4	ATP-dependent RNA helicase DBP9	3.6.4.13		0	0
KAN1675067.1	A0A1E3B0S4	33.1	MFS-type transporter criB			11	0
KAN1675069.1	P0CP90	43.5	Peptidyl-prolyl cis-trans isomerase-like 2	2.3.2.27 {ECO:0000250|UniProtKB:Q13356};5.2.1.8 {ECO:0000250|UniProtKB:Q08752}		0	0
KAN1675070.1	Q6GMA4	47.3	Charged multivesicular body protein 6-A			0	0
KAN1675071.1	D4ANW6	32.0	Phytase A	3.1.3.- {ECO:0000250|UniProtKB:P34752};3.1.3.8 {ECO:0000250|UniProtKB:P34752}	1-24	0	1
KAN1675072.1	O00093	31.4	Phytase A	3.1.3.- {ECO:0000269|PubMed:9925555};3.1.3.8 {ECO:0000269|PubMed:9349716, ECO:0000269|PubMed:9925555}	1-19	0	1
KAN1675073.1	P40309	39.1	K(+)/H(+) antiporter 1			13	0
KAN1675075.1	Q07536	57.6	Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial	1.2.1.27 {ECO:0000269|PubMed:8514806}		0	0
KAN1675076.1	P41893	43.7	Low molecular weight phosphotyrosine protein phosphatase	3.1.3.2;3.1.3.48		0	0
KAN1675078.1	Q9RPT1	44.3	Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase	1.1.1.100		0	0
KAN1675081.1	P40514	33.1	Uncharacterized protein YIL067C			9	0
KAN1675083.1	Q9HGM3	62.3	Mitochondrial inner membrane m-AAA protease component yta12	3.4.24.- {ECO:0000250|UniProtKB:P40341};3.6.-.- {ECO:0000250|UniProtKB:P40341}		2	0
KAN1675085.1	A0A0A2IBP6	43.5	MFS-type transporter cnsO			11	0
KAN1675086.1	J9VQV8	37.2	Urease accessory protein 4			1	0
KAN1675087.1	Q10951	31.3	Protein byr4			0	0
KAN1675088.1	Q1MTQ9	72.8	60S ribosome subunit biogenesis protein nip7			0	0
KAN1675089.1	A0A2H3E4G0	74.9	Cyanide hydratase	4.2.1.66 {ECO:0000269|PubMed:31795104}		0	0
KAN1675093.1	P59015	34.1	Vacuolar protein sorting-associated protein 18 homolog			0	0
KAN1675094.1	Q7W1Q6	39.0	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.11 {ECO:0000255|HAMAP-Rule:MF_01039}		0	0
KAN1675096.1	Q04013	64.5	Citrate/oxoglutarate carrier protein			6	0
KAN1675097.1	Q4WZG1	50.8	Woronin body membrane protein wscA			4	0
KAN1675102.1	G5EBI4	33.0	Epoxide hydrolase 1	3.3.2.10 {ECO:0000269|PubMed:18267101}		1	0
KAN1675104.1	F2T0J9	41.5	MFS-type efflux pump MFS2			12	0
KAN1675105.1	Q6AP62	44.4	Small ribosomal subunit protein uS17			0	0
KAN1675106.1	Q17Q89	48.4	Prefoldin subunit 6			0	0
KAN1675107.1	O05218	37.1	Glutathione hydrolase-like YwrD proenzyme	2.3.2.2;3.4.19.13		0	0
KAN1675108.1	Q6Z8B9	33.1	Probable protein phosphatase 2C 12	3.1.3.16		0	0
KAN1675111.1	O94514	62.5	Nucleolar protein 56			0	0
KAN1675112.1	Q6ZPJ3	38.2	(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O	2.3.2.24		0	0
KAN1675114.1	Q8HXY2	48.3	Mitochondrial carnitine/acylcarnitine carrier protein			6	0
KAN1675116.1	A8N2M6	65.8	Amino-acid acetyltransferase, mitochondrial	2.3.1.1		0	0
KAN1675118.1	P47104	30.8	Regulator of V-ATPase in vacuolar membrane protein 1			0	0
KAN1675119.1	Q10305	67.5	Probable secretory pathway GDP dissociation inhibitor 1			0	0
KAN1675120.1	P87024	40.3	Beta-glucan synthesis-associated protein SKN1			1	0
KAN1675125.1	A0AAD6ITA8	52.3	3-ketoacyl-CoA thiolase Dda_7173	2.3.1.16 {ECO:0000250|UniProtKB:P27796}		0	0
KAN1675126.1	Q9UUF1	40.5	Deoxyribonuclease Tat-D	3.1.21.-		0	0
KAN1675128.1	J9W453	47.7	Ceramide glucosyltransferase	2.4.1.80 {ECO:0000269|PubMed:16741577}		4	0
KAN1675130.1	Q4QQW1	33.3	Receptor expression-enhancing protein 4			2	0
KAN1675132.1	A0PJN4	32.9	Ubiquitin-conjugating enzyme E2Q-like protein 1	2.3.2.23		0	0
KAN1675133.1	A0A1B1ZGB5	30.8	Adenylate-forming reductase Nps10	1.2.1.- {ECO:0000269|PubMed:27457378}		0	0
KAN1675135.1	O14267	32.3	Uncharacterized protein C7D4.12c			10	0
KAN1675137.1	Q7M840	30.5	Ribonuclease 3	3.1.26.3 {ECO:0000255|HAMAP-Rule:MF_00104}		0	0
KAN1675138.1	Q9P793	38.8	ATP-dependent chromatin remodeler mit1	3.6.4.- {ECO:0000250|UniProtKB:Q9US25}		0	0
KAN1675142.1	Q66NB7	65.9	Manganese dependent endoglucanase Eg5A	3.2.1.4 {ECO:0000269|PubMed:26173955}	1-17	0	1
KAN1675143.1	Q10190	42.8	Large subunit GTPase 1	3.6.1.-		0	0
KAN1675144.1	Q5JLD8	38.0	CBL-interacting protein kinase 8	2.7.11.1		0	0
KAN1675145.1	Q9R0P3	51.9	S-formylglutathione hydrolase	3.1.2.12		0	0
KAN1675146.1	F1SYD1	31.7	Cytochrome P450 monooxygenase 151	1.-.-.- {ECO:0000269|PubMed:21938516}		1	0
KAN1675147.1	Q8J0Q0	42.4	Mannosyl-oligosaccharide 1,2-alpha-mannosidase	3.2.1.113 {ECO:0000250|UniProtKB:P32906}		0	0
KAN1675150.1	P54857	36.0	Triacylglycerol lipase 2	3.1.1.3 {ECO:0000269|PubMed:9544243}		0	0
KAN1675151.1	P38853	31.0	Kelch repeat-containing protein 1			0	0
KAN1675152.1	Q05022	31.8	rRNA biogenesis protein RRP5			0	0
KAN1675153.1	Q15428	60.6	Splicing factor 3A subunit 2			0	0
KAN1675154.1	Q7SCY7	42.8	Protein sym-1			5	0
KAN1675157.1	P81762	98.9	Guanyl-specific ribonuclease Po1	4.6.1.24		0	0
KAN1675159.1	Q9D8W5	42.0	26S proteasome non-ATPase regulatory subunit 12			0	0
KAN1675160.1	M4IRL6	34.8	Probable CoA ligase CCL7	6.2.1.- {ECO:0000305|PubMed:23300257}		0	0
KAN1675165.1	Q9M0X9	32.9	4-coumarate--CoA ligase-like 7	6.2.1.- {ECO:0000269|PubMed:15677481, ECO:0000269|PubMed:18267944}		0	0
KAN1675166.1	A5AAL8	33.6	Small ribosomal subunit protein mS23			0	0
KAN1675168.1	J9VYP5	62.9	Bifunctional purine biosynthetic protein ADE5,7	6.3.3.1 {ECO:0000250|UniProtKB:P20772};6.3.4.13 {ECO:0000269|PubMed:34416230}		0	0
KAN1675170.1	A5VIG6	42.6	Glycerol-3-phosphate dehydrogenase [NAD(P)+]	1.1.1.94 {ECO:0000255|HAMAP-Rule:MF_00394}		0	0
KAN1675171.1	O13644	47.8	Integral membrane protein sed5			1	0
KAN1675172.1	Q9Y7Y3	42.9	Uncharacterized RNA-binding protein C365.04c			0	0
KAN1675174.1	Q4P6I3	57.1	Pre-mRNA-splicing factor CWC25			0	0
KAN1675175.1	O42634	45.9	Meiotic recombination protein dmc1	3.6.4.- {ECO:0000269|PubMed:15899844}		0	0
KAN1675177.1	P10281	37.5	Ribonuclease T2	4.6.1.19	1-17	0	1
KAN1675178.1	Q5A1W9	43.8	NAD-dependent histone deacetylase HST3	2.3.1.286 {ECO:0000255|PROSITE-ProRule:PRU00236}		0	0
KAN1675179.1	P20435	78.8	DNA-directed RNA polymerases I, II, and III subunit RPABC2			0	0
KAN1675182.1	P0CO90	59.2	Cytosolic Fe-S cluster assembly factor CFD1			0	0
KAN1675183.1	Q8RWT8	39.8	Serine--tRNA ligase, chloroplastic/mitochondrial	6.1.1.11 {ECO:0000305}		0	0
KAN1675186.1	Q10106	31.6	Probable U3 small nucleolar RNA-associated protein 11			0	0
KAN1675187.1	D4AUX6	42.5	Uncharacterized secreted protein ARB_08043		1-23	0	1
KAN1675188.1	P24032	37.6	Myosin regulatory light chain 2, smooth muscle minor isoform			0	0
KAN1675191.1	B3LJR0	45.5	Folylpolyglutamate synthase	6.3.2.17 {ECO:0000250|UniProtKB:Q08645}		0	0
KAN1675193.1	P0CS62	31.5	pH-response transcription factor pacC/RIM101			0	0
KAN1675194.1	Q09813	37.9	Putative transcription initiation factor TFIID 111 kDa subunit			0	0
KAN1675195.1	Q5RFD3	35.0	Proteasome activator complex subunit 3			0	0
KAN1675196.1	Q9P783	49.4	Ribosome assembly protein rrb1			0	0
KAN1675200.1	P08158	43.1	Acetamidase	3.5.1.4		0	0
KAN1675203.1	Q9P6L5	64.1	Endocytosis protein end4			0	0
KAN1675204.1	Q9P6L5	43.5	Endocytosis protein end4			0	0
KAN1675205.1	Q15526	36.0	Surfeit locus protein 1			2	0
KAN1675206.1	P74594	32.5	Probable ketoamine kinase slr1563	2.7.1.- {ECO:0000250|UniProtKB:Q9H479}		0	0
KAN1675207.1	Q02061	71.8	DNA-directed RNA polymerase II subunit RPB2	2.7.7.6		0	0
KAN1675209.1	O13989	32.2	Uncharacterized protein C26H5.07c		1-22	7	0
KAN1675210.1	P0CR62	49.8	Sorting nexin-4			0	0
KAN1675212.1	Q5A220	42.5	Repressor of filamentous growth 1			0	0
KAN1675213.1	P37545	31.7	Uncharacterized metal-dependent hydrolase YabD	3.1.-.- {ECO:0000305}		0	0
KAN1675214.1	Q568H3	32.0	Mitotic spindle assembly checkpoint protein MAD2B			0	0
KAN1675218.1	O94467	45.9	Putative NADPH dehydrogenase C23G7.10c	1.6.99.1		0	0
KAN1675221.1	Q02981	40.8	ABC1 family protein YPL109C, mitochondrial			0	0
KAN1675222.1	J9VPM2	43.3	Glycogenin	2.4.1.186 {ECO:0000269|PubMed:38743622}		0	0
KAN1675226.1	P37936	32.8	Mating-type protein A-alpha Y1			0	0
KAN1675227.1	P40333	32.2	Mating-type protein beta1-1			0	0
KAN1675228.1	P40333	31.2	Mating-type protein beta1-1			0	0
KAN1675229.1	P40333	33.3	Mating-type protein beta1-1			0	0
KAN1675230.1	Q6Y5M5	80.6	Mitochondrial intermediate peptidase	3.4.24.59		0	0
KAN1675232.1	A6QR31	36.4	Protein FAM32A			0	0
KAN1675233.1	Q12893	30.3	Transmembrane protein 115			4	0
KAN1675234.1	Q9Z160	40.0	Conserved oligomeric Golgi complex subunit 1			0	0
KAN1675236.1	Q7SZU9	61.2	Protein transport protein Sec61 subunit gamma			1	0
KAN1675238.1	Q09785	55.9	Putative glycine dehydrogenase (decarboxylating), mitochondrial	1.4.4.2		0	0
KAN1675247.1	A1CRI1	57.4	Probable NAD(P)H-dependent D-xylose reductase xyrA	1.1.1.430 {ECO:0000250|UniProtKB:O74237};1.1.1.431 {ECO:0000250|UniProtKB:O74237}		0	0
KAN1675250.1	A8N374	36.1	Secondary metabolism regulator laeA	2.1.1.- {ECO:0000250|UniProtKB:C8VQG9}		0	0
KAN1675251.1	Q2RBS5	45.5	FAD-dependent oxidoreductase FVFD30	1.6.5.- {ECO:0000250|UniProtKB:Q9BRQ8}		1	0
KAN1675252.1	Q2RBS5	48.0	FAD-dependent oxidoreductase FVFD30	1.6.5.- {ECO:0000250|UniProtKB:Q9BRQ8}		1	0
KAN1675253.1	P36916	31.4	Guanine nucleotide-binding protein-like 1			0	0
KAN1675254.1	Q00017	52.9	Rhamnogalacturonan acetylesterase	3.1.1.86	1-17	0	1
KAN1675256.1	Q32L63	38.9	Vacuolar protein sorting-associated protein VTA1 homolog			0	0
KAN1675259.1	O43012	33.1	Deoxycytidylate deaminase	3.5.4.12		0	0
KAN1675261.1	O94277	32.0	Putative aminodeoxychorismate synthase	2.6.1.85		0	0
KAN1675263.1	Q6C9W0	52.0	NEDD8-conjugating enzyme UBC12	2.3.2.34		0	0
KAN1675264.1	Q06S87	38.9	5-hydroxyisourate hydrolase	3.5.2.17		0	0
KAN1675265.1	P56182	32.8	Ribosomal RNA processing protein 1 homolog A			0	0
KAN1675266.1	O13716	42.0	Glucan endo-1,3-alpha-glucosidase agn1	3.2.1.59	1-20	0	1
KAN1675267.1	Q09844	30.5	TBC domain-containing protein C23D3.03c			0	0
KAN1675269.1	Q6MVH7	67.3	Inorganic pyrophosphatase	3.6.1.1		0	0
KAN1675272.1	O97508	43.3	Thioredoxin			0	0
KAN1675273.1	P62793	100.0	Histone H4			0	0
KAN1675276.1	Q8VDI9	37.8	Alpha-1,2-mannosyltransferase ALG9	2.4.1.259 {ECO:0000250|UniProtKB:Q9H6U8};2.4.1.261 {ECO:0000250|UniProtKB:Q9H6U8}		8	0
KAN1675279.1	P21147	36.8	Acyl-CoA desaturase 1	1.14.19.1 {ECO:0000269|PubMed:1978720, ECO:0000269|PubMed:7947684}		4	0
KAN1675280.1	Q86U86	30.0	Protein polybromo-1			0	0
KAN1675281.1	P0CS68	46.2	Palmitoyltransferase PFA4	2.3.1.225 {ECO:0000255|HAMAP-Rule:MF_03199}		4	0
KAN1675285.1	P81296	58.9	Ribonuclease Le2	4.6.1.19		0	0
KAN1675286.1	O14360	36.4	H/ACA ribonucleoprotein complex non-core subunit NAF1			0	0
KAN1675287.1	A8N2Z9	50.8	Elongation factor Ts, mitochondrial			0	0
KAN1675288.1	Q9D099	33.3	Alkaline ceramidase 3	3.5.1.- {ECO:0000269|PubMed:26474409};3.5.1.23 {ECO:0000269|PubMed:26474409}		7	0
KAN1675289.1	P23955	43.1	Mitochondrial-processing peptidase subunit alpha			0	0
KAN1675291.1	P97929	36.3	Breast cancer type 2 susceptibility protein homolog			0	0
KAN1675293.1	Q91YN5	45.4	UDP-N-acetylhexosamine pyrophosphorylase	2.7.4.- {ECO:0000250|UniProtKB:Q16222};2.7.7.23 {ECO:0000250|UniProtKB:Q16222};2.7.7.83 {ECO:0000250|UniProtKB:Q16222}		0	0
KAN1675294.1	Q6CVA8	53.6	Class E vacuolar protein-sorting machinery protein HSE1			0	0
KAN1675297.1	Q96V64	44.2	Glucan 1,3-beta-glucosidase	3.2.1.58	1-20	0	1
KAN1675298.1	Q9UTN1	49.0	Mitochondrial oxaloacetate transport protein			6	0
KAN1675300.1	P0CS06	33.5	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6			0	0
KAN1675302.1	B0CRJ3	77.4	Myosin-1			0	0
KAN1675305.1	A5DB51	45.7	Riboflavin synthase	2.5.1.9		0	0
KAN1675308.1	P32386	33.3	ATP-dependent bile acid permease			17	0
KAN1675310.1	P17576	69.6	Polyporopepsin	3.4.23.29		0	0
KAN1675311.1	Q9UT55	36.9	Damage-control phosphatase SPAC806.04c	3.1.3.- {ECO:0000250|UniProtKB:Q04371}		0	0
KAN1675314.1	A0A1L9X986	44.3	Transcription factor aacF			0	0
KAN1675317.1	O08522	34.2	Golgi SNAP receptor complex member 1			1	0
KAN1675318.1	P41890	36.4	Cut9-interacting protein scn1			0	0
KAN1675319.1	A8N339	57.8	tRNA (guanine(37)-N(1))-methyltransferase	2.1.1.228 {ECO:0000255|HAMAP-Rule:MF_03152}		0	0
KAN1675323.1	Q5HWL3	43.9	Cyclic pyranopterin monophosphate synthase	4.6.1.17 {ECO:0000255|HAMAP-Rule:MF_01224}		0	0
KAN1675324.1	W1Q7S6	53.2	GTP 3',8-cyclase	4.1.99.22 {ECO:0000250|UniProtKB:P69848}		0	0
KAN1675325.1	Q9Y7T8	63.9	Probable proteasome subunit beta type-3			0	0
KAN1675326.1	Q9PU58	39.0	Protein NipSnap homolog 2			0	0
KAN1675328.1	Q5U2W5	35.1	Transducin beta-like protein 3			0	0
KAN1675330.1	Q5BL31	32.4	Protein ILRUN			0	0
KAN1675331.1	Q9DCG6	30.5	Phenazine biosynthesis-like domain-containing protein 1			0	0
KAN1675332.1	Q9UTI7	49.5	Probable thymidylate synthase	2.1.1.45		0	0
KAN1675334.1	P81054	51.6	Peptidyl-Lys metalloendopeptidase	3.4.24.20	1-18	0	1
KAN1675335.1	Q04519	30.6	Sphingomyelin phosphodiesterase	3.1.4.12 {ECO:0000269|PubMed:27435900, ECO:0000269|PubMed:8702487};3.1.4.3 {ECO:0000250|UniProtKB:P17405}	1-44	0	1
KAN1675336.1	O74534	38.0	Protein sly1			0	0
KAN1675340.1	Q53552	37.0	Salicylate hydroxylase	1.14.13.1		0	0
KAN1675347.1	P81054	56.4	Peptidyl-Lys metalloendopeptidase	3.4.24.20	1-18	0	1
KAN1675349.1	P49776	42.7	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	3.6.1.17		0	0
KAN1675351.1	O74517	32.9	Protein saf1			0	0
KAN1675353.1	D8PSG0	57.5	High osmolarity signaling protein SHO1			4	0
KAN1675355.1	Q874B9	78.0	Elongation factor 2	3.6.5.- {ECO:0000250|UniProtKB:P32324}		0	0
KAN1675356.1	Q2MHE4	30.7	Serine/threonine/tyrosine-protein kinase HT1	2.7.10.1 {ECO:0000305|PubMed:30361234};2.7.11.1 {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000269|PubMed:16518390, ECO:0000269|PubMed:27694184, ECO:0000269|PubMed:27923039, ECO:0000269|PubMed:29101334}		0	0
KAN1675358.1	Q9USS2	48.5	Serine/threonine-protein kinase ppk29	2.7.11.1		0	0
KAN1675360.1	Q9Y7L4	32.7	Exonuclease V	3.1.-.-		0	0
KAN1675364.1	Q10097	30.0	Carboxylic acid transmembrane transporter SPAC11D3.18c			11	0
KAN1675365.1	P0C7L7	37.8	Putative DEAH-box ATP-dependent helicase UM11114	3.6.4.-		0	0
KAN1675366.1	Q9H3K2	35.9	Growth hormone-inducible transmembrane protein			7	0
KAN1675368.1	Q14562	58.0	ATP-dependent RNA helicase DHX8	3.6.4.13 {ECO:0000250|UniProtKB:P24384}		0	0
KAN1675372.1	O74369	35.8	Inositol phosphosphingolipids phospholipase C	3.1.4.-		2	0
KAN1675373.1	P18773	33.2	Esterase	3.1.1.-		0	0
KAN1675374.1	P62793	100.0	Histone H4			0	0
KAN1675375.1	Q9FN19	35.2	WD40 repeat-containing protein HOS15			0	0
KAN1675376.1	Q40153	35.2	LEC14B protein			0	0
KAN1675382.1	O74462	38.6	SAGA complex/transcription factor TFIID complex subunit Taf6			0	0
KAN1675383.1	J9VQ06	61.6	Chitin synthase 2	2.4.1.16 {ECO:0000305|PubMed:16278457}		8	0
KAN1675385.1	O74962	41.9	Pantothenate kinase	2.7.1.33		0	0
KAN1675386.1	P87140	48.0	Probable coatomer subunit gamma			0	0
KAN1675387.1	G5EI58	88.8	Serine/threonine protein kinase HRR25	2.7.11.1 {ECO:0000255|PROSITE-ProRule:PRU00159}		0	0
