protein_id	sprot_acc	pident	evalue	protein_name	EC	GO	KEGG
KAJ8693528.1	O13853	54.5	5.1e-157	Phosphatidylinositol 4-phosphate 5-kinase its3	2.7.1.68 {ECO:0000305|PubMed:10950958}	GO:0005524;GO:0005543;GO:0005886;GO:0016308;GO:0030989;GO:0032153;GO:0046854;GO:0051301;GO:0052811;GO:1902412;GO:1902635	spo:2542231
KAJ8693529.1	P41820	43.9	0.0e+00	Brefeldin A resistance protein		GO:0005524;GO:0005886;GO:0016887;GO:0042626;GO:0046677;GO:0140359;GO:1990961	spo:2539195
KAJ8693530.1	P0CO10	69.0	1.2e-220	Pre-mRNA-splicing factor CLF1		GO:0000245;GO:0000398;GO:0000974;GO:0071007;GO:0071014	cne:CNA06730
KAJ8693531.1	P0CQ91	46.8	4.1e-202	ATP-dependent RNA helicase MAK5	3.6.4.13	GO:0003723;GO:0003724;GO:0005524;GO:0005730;GO:0006364;GO:0016887	cnb:CNBL0260
KAJ8693533.1	P02982	34.6	3.6e-10	Tetracycline resistance protein, class A		GO:0005886;GO:0015297;GO:0046677;GO:1902600	
KAJ8693536.1	A0A348B779	77.2	7.6e-196	Sesquiterpene synthase 1	4.2.3.- {ECO:0000269|PubMed:30105900};4.2.3.125 {ECO:0000269|PubMed:30105900};4.2.3.126 {ECO:0000269|PubMed:30105900};4.2.3.127 {ECO:0000269|PubMed:30105900};4.2.3.133 {ECO:0000269|PubMed:30105900}	GO:0008299;GO:0010333;GO:0046872;GO:0102877	
KAJ8693540.1	Q99161	43.7	2.2e-45	Translocation protein SEC62		GO:0005783;GO:0005789;GO:0008320;GO:0016020;GO:0031204	yli:2907281
KAJ8693541.1	O94260	68.8	3.3e-55	Putative G3BP-like protein		GO:0003729;GO:0005829;GO:0010494;GO:0034063;GO:0051028;GO:1990861	spo:2541364
KAJ8693542.1	A1DBT4	40.0	1.9e-58	Probable pectinesterase A	3.1.1.11	GO:0005576;GO:0030599;GO:0042545;GO:0045490	nfi:NFIA_099600
KAJ8693543.1	Q03667	41.7	1.3e-08	Mitochondrial intermembrane space cysteine motif-containing protein MIX17		GO:0005634;GO:0005737;GO:0005739;GO:0005758;GO:0007005;GO:0009060	sce:YMR002W
KAJ8693547.1	A0A423WA64	76.1	1.6e-165	Mitogen-activated protein kinase Pmk1	2.7.11.24 {ECO:0000269|PubMed:35735975}	GO:0004707;GO:0005524;GO:0075018;GO:0106310	
KAJ8693554.1	Q76KX0	42.7	1.8e-64	L-amino acid amidase	3.5.1.101 {ECO:0000269|PubMed:15066172}	GO:0006508;GO:0008233;GO:0016020	ag:BAD15092
KAJ8693555.1	A0A142I739	31.4	1.3e-07	UstYa family oxidase phomYe	1.-.-.- {ECO:0000305|PubMed:34608734}	GO:0016020;GO:0016491;GO:0043386	
KAJ8693562.1	B2Z3V8	32.1	4.9e-22	L-azetidine-2-carboxylate hydrolase	3.5.-.- {ECO:0000269|PubMed:18487339, ECO:0000269|PubMed:20606277}	GO:0009636;GO:0019120;GO:0042597	
KAJ8693564.1	Q9Z0U0	34.0	8.4e-69	Solute carrier family 53 member 1		GO:0000822;GO:0001618;GO:0005315;GO:0005886;GO:0006817;GO:0009615;GO:0015562;GO:0016036;GO:0030643;GO:0035435	mmu:19775
KAJ8693565.1	Q55C58	36.0	4.0e-150	Vacuolar protein sorting-associated protein 16 homolog		GO:0003779;GO:0005768;GO:0006886;GO:0010008;GO:0015629;GO:0016192;GO:0016197;GO:0030897;GO:0042144	ddi:DDB_G0270754
KAJ8693566.1	Q55C58	36.9	5.5e-139	Vacuolar protein sorting-associated protein 16 homolog		GO:0003779;GO:0005768;GO:0006886;GO:0010008;GO:0015629;GO:0016192;GO:0016197;GO:0030897;GO:0042144	ddi:DDB_G0270754
KAJ8693568.1	Q566L8	43.1	4.1e-62	Methionine adenosyltransferase 2 subunit beta		GO:0006556;GO:0006730;GO:0030234;GO:0048269	xtr:549582
KAJ8693570.1	A0A089FRP6	40.3	1.3e-89	MFS transporter prlG		GO:0005886;GO:0022857	
KAJ8693571.1	C5H884	39.8	4.3e-74	Efflux pump radE		GO:0005886;GO:0022857	
KAJ8693573.1	P43620	32.0	1.7e-57	Sporulation protein RMD8		GO:0005737;GO:0005739;GO:0005783;GO:0016020;GO:0030435;GO:0051321	sce:YFR048W
KAJ8693574.1	Q9LFN3	41.7	5.0e-45	Probable sugar phosphate/phosphate translocator At5g11230		GO:0000138;GO:0005768;GO:0005794;GO:0005802;GO:0005886;GO:0015297;GO:0055085	ath:AT5G11230
KAJ8693575.1	Q9LFN3	40.8	7.5e-52	Probable sugar phosphate/phosphate translocator At5g11230		GO:0000138;GO:0005768;GO:0005794;GO:0005802;GO:0005886;GO:0015297;GO:0055085	ath:AT5G11230
KAJ8693576.1	Q3ZCE0	51.1	2.6e-29	U6 snRNA-associated Sm-like protein LSm8		GO:0000398;GO:0003729;GO:0005634;GO:0005688;GO:0046540;GO:0071005;GO:0071011;GO:0120115	bta:613630
KAJ8693577.1	Q4P9K4	67.0	0.0e+00	Protein transport protein SEC24		GO:0000139;GO:0000149;GO:0005789;GO:0005801;GO:0006886;GO:0008270;GO:0030127;GO:0070971;GO:0090110;GO:1990753	uma:UMAG_03209
KAJ8693578.1	P18496	31.2	2.2e-19	Mitochondrial ATPase complex subunit ATP10		GO:0005737;GO:0005739;GO:0005743;GO:0031966;GO:0033615;GO:0051082	sce:YLR393W
KAJ8693579.1	Q9HGX4	90.3	8.0e-76	Histone H2A		GO:0000786;GO:0003677;GO:0005634;GO:0006281;GO:0030527;GO:0046982	
KAJ8693585.1	Q09330	47.3	1.8e-20	mRNA export protein mlo3		GO:0000346;GO:0000775;GO:0000791;GO:0003729;GO:0005634;GO:0051028;GO:0071040;GO:0140746	spo:2540565
KAJ8693589.1	Q9VK68	31.4	5.3e-25	PITH domain-containing protein CG6153		GO:0005634;GO:0005737;GO:0045654;GO:0060255;GO:0080090	dme:Dmel_CG6153
KAJ8693590.1	O94307	42.2	1.3e-31	Probable prefoldin subunit 5		GO:0005634;GO:0005737;GO:0005829;GO:0006457;GO:0016272;GO:0032153;GO:0051082;GO:0051286;GO:1990113;GO:1990114;GO:1990115	spo:2540664
KAJ8693591.1	Q06137	36.6	8.3e-88	Putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase YLR345W	2.7.1.105;3.1.3.46	GO:0003873;GO:0004331;GO:0005524;GO:0005737;GO:0005829;GO:0006000;GO:0006003;GO:0006110	sce:YLR345W
KAJ8693592.1	Q10279	51.7	4.0e-54	Uracil permease		GO:0000139;GO:0000324;GO:0005783;GO:0005886;GO:0015205;GO:0015210;GO:0015505;GO:0015851;GO:0044853;GO:0098721	spo:2542586
KAJ8693593.1	Q10279	52.9	9.1e-133	Uracil permease		GO:0000139;GO:0000324;GO:0005783;GO:0005886;GO:0015205;GO:0015210;GO:0015505;GO:0015851;GO:0044853;GO:0098721	spo:2542586
KAJ8693595.1	P08092	44.2	7.8e-66	Negative regulator of sexual conjugation and meiosis	2.7.11.1	GO:0000086;GO:0000122;GO:0004672;GO:0004674;GO:0005524;GO:0005634;GO:0005737;GO:0005829;GO:0007165;GO:0010506;GO:0010515;GO:0042308;GO:0044843;GO:0051321;GO:0106310;GO:0110045;GO:1900087	spo:2540580
KAJ8693598.1	C4QZ20	36.4	2.6e-20	Flap endonuclease 1	3.1.-.- {ECO:0000255|HAMAP-Rule:MF_03140}	GO:0000287;GO:0003677;GO:0005654;GO:0005730;GO:0005739;GO:0005829;GO:0006284;GO:0006303;GO:0007534;GO:0008409;GO:0017108;GO:0035753;GO:0043137	ppa:PAS_chr1-4_0633
KAJ8693599.1	P53621	47.8	1.6e-294	Coatomer subunit alpha		GO:0000139;GO:0003729;GO:0005179;GO:0005198;GO:0005615;GO:0005737;GO:0005789;GO:0005829;GO:0006886;GO:0006888;GO:0006890;GO:0006891;GO:0016020;GO:0030126;GO:0030133;GO:0030157;GO:0030426;GO:0070062	hsa:1314
KAJ8693601.1	Q12458	48.3	1.5e-81	Aldehyde reductase YPR1	1.1.1.2 {ECO:0000269|PubMed:12210903}	GO:0004032;GO:0004090;GO:0005634;GO:0005737;GO:0005829;GO:0019568;GO:0032018;GO:0034599;GO:0042843;GO:0045149;GO:0052588	sce:YDR368W
KAJ8693610.1	B5KFL3	65.1	8.4e-43	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4	5.2.1.8	GO:0003677;GO:0003755;GO:0005730;GO:0005737;GO:0005819;GO:0006364	tgu:100190566
KAJ8693611.1	Q8LPJ4	71.1	4.6e-316	ABC transporter E family member 2		GO:0005506;GO:0005524;GO:0005829;GO:0006413;GO:0006415;GO:0016020;GO:0016887;GO:0043024;GO:0051539;GO:0060255	ath:AT4G19210
KAJ8693612.1	Q5XI31	30.8	5.9e-34	GPI-anchor transamidase component PIGS		GO:0006506;GO:0016255;GO:0042765;GO:0180046	rno:303277
KAJ8693614.1	Q0CA25	38.1	1.1e-85	Protein fyv10		GO:0005634;GO:0005737;GO:0008270;GO:0034657;GO:0043161;GO:0061630	
KAJ8693615.1	Q09749	39.1	8.5e-65	ADIPOR-like receptor SPBC12C2.09c		GO:0005886;GO:0006631;GO:0006882;GO:0038023;GO:0046872	spo:2539931
KAJ8693617.1	Q5AZJ0	57.3	3.3e-23	Required for respiratory growth protein 9, mitochondrial		GO:0005634;GO:0005739	ani:ANIA_06290
KAJ8693618.1	C4M4P4	36.7	1.9e-18	Coactosin		GO:0001891;GO:0005737;GO:0030427;GO:0030833;GO:0030864;GO:0031143;GO:0031234;GO:0051015	ehi:EHI_168340
KAJ8693619.1	Q7PCJ8	41.3	2.7e-34	Thialysine N-epsilon-acetyltransferase	2.3.1.- {ECO:0000250|UniProtKB:Q96F10};2.3.1.57 {ECO:0000250|UniProtKB:Q96F10}	GO:0005737;GO:0006595;GO:0008080	bta:359722
KAJ8693620.1	A2R091	63.9	2.7e-59	Nascent polypeptide-associated complex subunit beta		GO:0005634;GO:0005854;GO:0006351;GO:0015031	
KAJ8693623.1	Q10234	46.5	1.0e-33	Small ribosomal subunit protein uS5m		GO:0003723;GO:0003735;GO:0005739;GO:0005743;GO:0005763;GO:0006412;GO:0032543	spo:2543504
KAJ8693629.1	O74776	31.4	3.1e-31	Mitochondrial GTPase 1		GO:0003924;GO:0005525;GO:0005739;GO:0005743;GO:0005759;GO:0070129;GO:1902775	spo:2540442
KAJ8693630.1	Q32P79	50.9	2.9e-29	DNA-directed RNA polymerase II subunit RPB11		GO:0003677;GO:0003899;GO:0005634;GO:0005665;GO:0006366;GO:0046983	bta:540428
KAJ8693631.1	P78987	69.1	1.9e-60	Large ribosomal subunit protein uL15		GO:0003723;GO:0003735;GO:0005634;GO:0006412;GO:0022625	
KAJ8693632.1	A0A6S6QPY4	32.8	4.5e-95	Cytochrome P450 monooxygenase ple5B	1.-.-.- {ECO:0000269|PubMed:28924980}	GO:0004497;GO:0005506;GO:0016020;GO:0016114;GO:0016705;GO:0020037	
KAJ8693634.1	A0A8J9S3B0	33.8	2.8e-38	Short-chain dehydrogenase/reductase PhomF	1.-.-.- {ECO:0000305|PubMed:34608734}	GO:0016491	
KAJ8693635.1	A0A8J9S3B0	35.6	1.7e-39	Short-chain dehydrogenase/reductase PhomF	1.-.-.- {ECO:0000305|PubMed:34608734}	GO:0016491	
KAJ8693637.1	P83692	43.8	1.3e-90	Arabinogalactan endo-beta-1,4-galactanase	3.2.1.89	GO:0004553;GO:0015926;GO:0016998;GO:0030247;GO:0031218;GO:0045490	
KAJ8693638.1	P0DO34	37.0	3.1e-57	NADH-dependent flavin oxidoreductase iliE	1.-.-.- {ECO:0000269|PubMed:31216742}	GO:0010181;GO:0016020;GO:0016491	
KAJ8693644.1	Q9RR32	31.8	7.6e-20	dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase	1.1.1.384 {ECO:0000269|Ref.1}	GO:0000166;GO:0016491;GO:0017000	ag:AAD55450
KAJ8693646.1	Q54SR7	55.0	1.0e-45	FK506-binding protein 2	5.2.1.8	GO:0003755;GO:0005783	ddi:DDB_G0282267
KAJ8693648.1	Q5BGR2	30.7	1.7e-108	Protein mesA		GO:0005886;GO:0005938;GO:0030010;GO:0030448;GO:0051666	ani:ANIA_00268
KAJ8693656.1	O43242	45.8	2.0e-125	26S proteasome non-ATPase regulatory subunit 3		GO:0000502;GO:0005576;GO:0005634;GO:0005654;GO:0005829;GO:0006511;GO:0006979;GO:0008021;GO:0008541;GO:0010498;GO:0016020;GO:0022624;GO:0030234;GO:0034774;GO:0043161;GO:0061136;GO:0070062;GO:0071357;GO:1904813	hsa:5709
KAJ8693657.1	A0A1D8PNR5	49.6	3.2e-125	Spermidine transporter DUR31		GO:0005886;GO:0009267;GO:0015606;GO:0015848;GO:0030447;GO:0036170;GO:0036180;GO:0044182;GO:0051454;GO:0055085;GO:0071248	cal:CAALFM_C503480CA
KAJ8693664.1	A1D1W1	41.4	1.6e-103	Probable mannosyl-oligosaccharide alpha-1,2-mannosidase 1B	3.2.1.113 {ECO:0000250|UniProtKB:P32906}	GO:0004571;GO:0005509;GO:0005783;GO:0005975;GO:0016020;GO:0036503;GO:0060205	nfi:NFIA_010860
KAJ8693666.1	A3N0J2	32.6	5.7e-07	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.11 {ECO:0000255|HAMAP-Rule:MF_01039}	GO:0004619;GO:0006094;GO:0006096	apl:APL_0832
KAJ8693667.1	F1SYB2	37.3	4.1e-61	Cytochrome P450 monooxygenase 124	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8693668.1	P07754	50.1	8.2e-115	Alcohol dehydrogenase 3	1.1.1.1	GO:0004022;GO:0005737;GO:0008270	ani:ANIA_02286
KAJ8693669.1	Q5DWG1	42.2	2.5e-48	Pathogenesis-related thaumatin-like protein 3.5		GO:0006952;GO:0009737	
KAJ8693671.1	O14470	38.2	9.6e-98	SWI/SNF and RSC complexes subunit ssr2		GO:0000785;GO:0003677;GO:0005737;GO:0006338;GO:0006357;GO:0008270;GO:0016514;GO:0016586;GO:0042393;GO:0045815;GO:0045893	spo:2541851
KAJ8693672.1	Q59W62	50.4	1.9e-94	Serine/threonine-protein kinase GIN4	2.7.11.1	GO:0000086;GO:0000131;GO:0000921;GO:0001558;GO:0004672;GO:0004674;GO:0005524;GO:0005543;GO:0005634;GO:0005730;GO:0005737;GO:0005935;GO:0005940;GO:0006915;GO:0010458;GO:0030447;GO:0044010;GO:0044180;GO:0044182;GO:0060258;GO:0071466;GO:0106310	cal:CAALFM_C111400CA
KAJ8693674.1	Q9HGT6	62.0	1.0e-193	Serine--tRNA ligase, cytoplasmic	6.1.1.11 {ECO:0000250|UniProtKB:P07284}	GO:0000049;GO:0002181;GO:0004828;GO:0005524;GO:0005737;GO:0005829;GO:0006434	cal:CAALFM_C302780WA
KAJ8693681.1	A0A0D1E921	47.8	1.0e-57	Appressorium protein ROW1		GO:0005576;GO:0005886;GO:0075016	uma:UMAG_00309
KAJ8693682.1	Q9Y2B2	40.6	4.0e-38	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase	3.5.1.89 {ECO:0000269|PubMed:14742432, ECO:0000305|PubMed:10085243}	GO:0000225;GO:0005783;GO:0005789;GO:0006506	hsa:9487
KAJ8693683.1	Q9D0P0	51.3	2.3e-49	Emopamil-binding protein-like		GO:0005783;GO:0005789;GO:0016125;GO:0047750	mmu:68177
KAJ8693688.1	O74196	88.4	5.0e-99	Ubiquitin-conjugating enzyme E2-16 kDa	2.3.2.23	GO:0005524;GO:0016567;GO:0061631	
KAJ8693692.1	F1SY83	45.5	1.1e-150	Cytochrome P450 monooxygenase 89	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAJ8693694.1	A0A0D1E4Y8	52.3	3.9e-82	Appressorium protein ROW2		GO:0005576;GO:0005634;GO:0075016	uma:UMAG_00961
KAJ8693695.1	P36156	59.2	4.5e-14	Glutathione S-transferase omega-like 2	1.8.5.1 {ECO:0000269|PubMed:16709151};2.5.1.18 {ECO:0000269|PubMed:16709151}	GO:0004364;GO:0005737;GO:0006749;GO:0045174;GO:0071555	sce:YKR076W
KAJ8693696.1	O94524	58.8	1.8e-53	Glutathione S-transferase omega-like 2	1.8.5.1;2.5.1.18	GO:0004364;GO:0005634;GO:0005737;GO:0005794;GO:0005829;GO:0045174;GO:0071555;GO:0098869	spo:2539028
KAJ8693697.1	Q9LZI6	41.5	3.3e-14	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-B		GO:0005634;GO:0005739;GO:0005743;GO:0005758;GO:0005829;GO:0022904;GO:0032981;GO:0045271	ath:AT3G62790
KAJ8693702.1	A8G7R4	50.3	1.9e-131	D-galactonate dehydratase	4.2.1.6 {ECO:0000255|HAMAP-Rule:MF_01289}	GO:0000287;GO:0008869;GO:0009063;GO:0034194	spe:Spro_0044
KAJ8693716.1	A0A286LEZ8	50.0	4.1e-139	L-tryptophan decarboxylase	4.1.1.105 {ECO:0000269|PubMed:30283667}	GO:0004609;GO:0005739;GO:0006646;GO:0036469;GO:0140380	
KAJ8693718.1	Q4P958	62.6	1.7e-76	Endoplasmic reticulum vesicle protein 25		GO:0000139;GO:0005783;GO:0005789;GO:0005793;GO:0005794;GO:0006886;GO:0006888;GO:0007030;GO:0030134	uma:UMAG_03355
KAJ8693720.1	Q9P3U1	55.8	9.1e-20	Serine/arginine (SR)-type shuttling mRNA binding protein		GO:0003729;GO:0005634;GO:0005737;GO:0005829;GO:0016973;GO:0071028;GO:0140453;GO:1990904	spo:2542567
KAJ8693721.1	Q9HGX4	85.9	9.7e-71	Histone H2A		GO:0000786;GO:0003677;GO:0005634;GO:0006281;GO:0030527;GO:0046982	
KAJ8693722.1	P78567	76.2	5.6e-59	Histone H2B		GO:0000786;GO:0003677;GO:0005634;GO:0030527;GO:0046982	
KAJ8693723.1	Q5ZMJ9	59.8	1.1e-37	Serine/arginine repetitive matrix protein 1		GO:0003723;GO:0005681;GO:0006397;GO:0008380;GO:0048024	gga:428216
KAJ8693724.1	Q9USH5	45.8	5.1e-28	PWI domain-containing protein C825.05c		GO:0003723;GO:0005681;GO:0045292	spo:2539459
KAJ8693725.1	A0A1Y2IY60	72.4	3.9e-134	AA9 family lytic polysaccharide monooxygenase AA9-X282	1.14.99.54 {ECO:0000269|PubMed:37463979}	GO:0004497;GO:0005576;GO:0030245;GO:0046872	
KAJ8693726.1	A0A1Y2IY60	72.4	1.8e-108	AA9 family lytic polysaccharide monooxygenase AA9-X282	1.14.99.54 {ECO:0000269|PubMed:37463979}	GO:0004497;GO:0005576;GO:0030245;GO:0046872	
KAJ8693727.1	P17477	79.1	2.6e-26	Large ribosomal subunit protein P1B		GO:0002181;GO:0002182;GO:0003735;GO:0005829;GO:0022625;GO:0030295;GO:0043021	spo:2540299
KAJ8693728.1	Q60HD5	32.4	8.8e-57	Protoporphyrinogen oxidase	1.3.3.4	GO:0004729;GO:0005743;GO:0005758;GO:0006779;GO:0006782;GO:0006783;GO:0006785;GO:0031966	
KAJ8693731.1	Q8C2P3	38.0	4.5e-57	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like	1.3.1.88 {ECO:0000250|UniProtKB:Q6P1R4}	GO:0002943;GO:0005634;GO:0005737;GO:0017150;GO:0050660;GO:0102262;GO:0102263	mmu:68730
KAJ8693733.1	Q4R639	37.3	1.1e-19	Sorbitol dehydrogenase	1.1.1.- {ECO:0000250|UniProtKB:P07846};1.1.1.14 {ECO:0000250|UniProtKB:P07846};1.1.1.9 {ECO:0000250|UniProtKB:P07846}	GO:0003939;GO:0006062;GO:0008270;GO:0030317;GO:0031514;GO:0031966;GO:0046526	mcf:101865740
KAJ8693734.1	P0A9Q0	42.6	1.1e-19	5-keto-D-gluconate 5-reductase	1.1.1.69 {ECO:0000250|UniProtKB:P0A9P9}	GO:0008874;GO:0046183	ecc:c5367
KAJ8693737.1	J9VVW8	47.3	4.5e-170	NAD-dependent malic enzyme, mitochondrial	1.1.1.38 {ECO:0000250|UniProtKB:P23368}	GO:0004471;GO:0005634;GO:0005739;GO:0005759;GO:0005829;GO:0006108;GO:0046872;GO:0051287	cng:CNAG_06374
KAJ8693740.1	P32386	34.4	2.1e-237	ATP-dependent bile acid permease		GO:0000324;GO:0000329;GO:0005524;GO:0005783;GO:0006816;GO:0015718;GO:0016887;GO:0033285;GO:0045121;GO:0055085;GO:0140359	sce:YLL048C
KAJ8693741.1	O14215	49.9	5.5e-119	DNA primase small subunit	2.7.7.102 {ECO:0000250|UniProtKB:P49642}	GO:0000785;GO:0003899;GO:0005634;GO:0005658;GO:0005737;GO:0006269;GO:0006270;GO:0046872	spo:2543323
KAJ8693742.1	O14215	47.8	1.1e-84	DNA primase small subunit	2.7.7.102 {ECO:0000250|UniProtKB:P49642}	GO:0000785;GO:0003899;GO:0005634;GO:0005658;GO:0005737;GO:0006269;GO:0006270;GO:0046872	spo:2543323
KAJ8693743.1	Q54C16	32.5	1.2e-56	Sphingomyelin phosphodiesterase B	3.1.4.-	GO:0004767;GO:0005615;GO:0006685;GO:0008081;GO:0016020;GO:0016798;GO:0046513;GO:0046872	ddi:DDB_G0293210
KAJ8693744.1	Q54C16	33.2	4.1e-59	Sphingomyelin phosphodiesterase B	3.1.4.-	GO:0004767;GO:0005615;GO:0006685;GO:0008081;GO:0016020;GO:0016798;GO:0046513;GO:0046872	ddi:DDB_G0293210
KAJ8693745.1	Q9USW3	45.3	2.0e-79	Probable glycosidase C21B10.07	3.2.1.-	GO:0004553;GO:0005576;GO:0009251;GO:0009277;GO:0016020;GO:0016787;GO:0071966	spo:2540333
KAJ8693751.1	P19262	56.2	5.0e-134	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	2.3.1.61	GO:0004149;GO:0005739;GO:0006099;GO:0006103;GO:0033512;GO:0042645;GO:0045252;GO:0045333	sce:YDR148C
KAJ8693760.1	A2RB71	31.1	1.2e-36	Protein sds23		GO:0004190;GO:0004865;GO:0005634;GO:0005737;GO:0006508;GO:0030071;GO:0042149	ang:An18g05720
KAJ8693761.1	A2RB71	33.0	7.1e-32	Protein sds23		GO:0004190;GO:0004865;GO:0005634;GO:0005737;GO:0006508;GO:0030071;GO:0042149	ang:An18g05720
KAJ8693762.1	A0A0C2S258	51.6	1.4e-197	Cystathionine gamma-synthase-like enzyme iboG2	4.4.-.- {ECO:0000305|PubMed:32233056}	GO:0003962;GO:0016829;GO:0019346;GO:0030170	
KAJ8693763.1	O94671	44.1	6.8e-94	Homoserine dehydrogenase	1.1.1.3 {ECO:0000250|UniProtKB:P31116}	GO:0004412;GO:0009067;GO:0009086;GO:0009088;GO:0009090;GO:0046872;GO:0050661;GO:0070403	spo:2541148
KAJ8693768.1	Q09330	45.9	5.5e-30	mRNA export protein mlo3		GO:0000346;GO:0000775;GO:0000791;GO:0003729;GO:0005634;GO:0051028;GO:0071040;GO:0140746	spo:2540565
KAJ8693770.1	Q8RWL6	31.7	1.2e-27	Serine/threonine-protein kinase STY17	2.7.11.1 {ECO:0000269|PubMed:17090544}	GO:0004674;GO:0004712;GO:0005524;GO:0005829;GO:0007165;GO:0009658;GO:0106310	ath:AT4G35780
KAJ8693772.1	Q9M0T3	33.1	2.1e-18	Mitogen-activated protein kinase kinase kinase 3	2.7.11.25 {ECO:0000250|UniProtKB:P53778, ECO:0000255|PROSITE-ProRule:PRU00159}	GO:0000165;GO:0004709;GO:0005524;GO:0005634;GO:0005737;GO:0106310;GO:1902065	ath:AT4G08470
KAJ8693773.1	P78567	86.2	2.6e-66	Histone H2B		GO:0000786;GO:0003677;GO:0005634;GO:0030527;GO:0046982	
KAJ8693774.1	P78567	75.6	5.4e-59	Histone H2B		GO:0000786;GO:0003677;GO:0005634;GO:0030527;GO:0046982	
KAJ8693775.1	P78567	76.5	2.6e-61	Histone H2B		GO:0000786;GO:0003677;GO:0005634;GO:0030527;GO:0046982	
KAJ8693776.1	Q9HGX4	84.8	2.4e-68	Histone H2A		GO:0000786;GO:0003677;GO:0005634;GO:0006281;GO:0030527;GO:0046982	
KAJ8693777.1	O42903	54.1	2.4e-27	GRIP domain-containing protein C119.12		GO:0005794;GO:0005796;GO:0006888;GO:0007030;GO:0031267	spo:2540061
KAJ8693780.1	Q7SEK9	64.3	1.4e-08	Large ribosomal subunit protein mL59		GO:0003735;GO:0005762	ncr:NCU02804
KAJ8693782.1	O94753	62.4	4.1e-95	Versatile peroxidase VPL2	1.11.1.16 {ECO:0000269|PubMed:12884090, ECO:0000269|PubMed:16246366, ECO:0000269|PubMed:9987124}	GO:0000302;GO:0005576;GO:0016689;GO:0020037;GO:0034599;GO:0042744;GO:0046274;GO:0046872;GO:0052750	
KAJ8693784.1	Q4WWM8	36.3	4.6e-08	Rab guanine nucleotide exchange factor sec2		GO:0005085;GO:0015031;GO:0051286	afm:AFUA_3G06430
KAJ8693785.1	P53907	39.7	3.8e-07	Uncharacterized protein YNL144C		GO:0005739;GO:0032473	sce:YNL144C
KAJ8693786.1	P53907	39.7	3.4e-07	Uncharacterized protein YNL144C		GO:0005739;GO:0032473	sce:YNL144C
KAJ8693787.1	P20654	92.0	2.5e-229	Serine/threonine-protein phosphatase PP1	3.1.3.16	GO:0000022;GO:0000076;GO:0000077;GO:0000131;GO:0000164;GO:0000723;GO:0000776;GO:0001400;GO:0004722;GO:0005634;GO:0005730;GO:0005737;GO:0005816;GO:0005847;GO:0005979;GO:0006031;GO:0006873;GO:0006986;GO:0007059;GO:0007094;GO:0007116;GO:0007346;GO:0008360;GO:0009408;GO:0030010;GO:0030428;GO:0030437;GO:0031297;GO:0032174;GO:0034501;GO:0046872;GO:0051211;GO:1901901;GO:1903501;GO:2000370	ani:ANIA_00410
KAJ8693788.1	G2X2I9	39.2	6.1e-125	Sugar transporter 12		GO:0005351;GO:0016020	vda:VDAG_04513
KAJ8693792.1	Q55GE6	32.4	1.6e-18	Probable serine/threonine-protein kinase roco7	2.7.11.1	GO:0004672;GO:0004674;GO:0005524;GO:0005737;GO:0005829;GO:0007165;GO:0106310	ddi:DDB_G0267472
KAJ8693793.1	Q3SZJ2	33.0	1.5e-07	Receptor-interacting serine/threonine-protein kinase 2	2.7.10.2 {ECO:0000250|UniProtKB:O43353};2.7.11.1 {ECO:0000250|UniProtKB:O43353}	GO:0002250;GO:0004674;GO:0004706;GO:0004715;GO:0005102;GO:0005524;GO:0005737;GO:0005783;GO:0005829;GO:0005856;GO:0005886;GO:0006915;GO:0007165;GO:0007249;GO:0030274;GO:0031982;GO:0032731;GO:0032755;GO:0032760;GO:0032991;GO:0035591;GO:0042742;GO:0042803;GO:0043065;GO:0043123;GO:0045087;GO:0050700;GO:0050852;GO:0051260;GO:0070427;GO:0070431;GO:0071225;GO:0089720;GO:0106310;GO:0140895;GO:1902523	bta:534407
KAJ8693794.1	Q8RWL6	31.6	2.2e-28	Serine/threonine-protein kinase STY17	2.7.11.1 {ECO:0000269|PubMed:17090544}	GO:0004674;GO:0004712;GO:0005524;GO:0005829;GO:0007165;GO:0009658;GO:0106310	ath:AT4G35780
KAJ8693795.1	Q8RWL6	31.6	8.4e-29	Serine/threonine-protein kinase STY17	2.7.11.1 {ECO:0000269|PubMed:17090544}	GO:0004674;GO:0004712;GO:0005524;GO:0005829;GO:0007165;GO:0009658;GO:0106310	ath:AT4G35780
